Index,Word,log freq,nr. of tokens,tokens,word score
154,aided,7.408530566894626,1,aided,-14.749028205871582
155,aignan,0.0,3,a_##ign_##an,-31.885690689086918
156,aimed,6.970730078143525,1,aimed,-13.695032119750977
157,ain't,7.293017679772782,3,ain_'_t,-13.827481746673584
158,air,12.290229953536898,1,air,-10.85991096496582
159,akin,8.831857935197906,1,akin,-14.888771057128906
160,alarmed,7.309212365692763,1,alarmed,-14.837882041931152
161,alas,9.548168831368535,2,al_##as,-25.655012130737305
162,albans,4.948759890378168,3,al_##ban_##s,-32.13054847717285
163,albigenses,4.465908118654584,4,al_##bi_##gens_##es,-48.69755744934082
164,ale,11.951496474975388,1,ale,-15.059353828430176
165,alertness,7.094234845924755,2,alert_##ness,-27.11404037475586
166,alexander,7.491087593534876,3,ale_##xa_##nder,-39.96198654174805
167,alexandra,6.709304340258298,3,ale_##xa_##ndra,-42.23160076141357
168,algebra,9.360741172643708,1,algebra,-14.25429344177246
169,algeria,5.575949103146316,3,al_##ger_##ia,-35.805630683898926
170,algerian,4.74493212836325,3,al_##ger_##ian,-36.20199680328369
171,alice,7.701652362642226,2,al_##ice,-28.02843475341797
172,alighted,6.659293919683638,3,al_##ight_##ed,-35.299405097961426
173,alike,9.54287630006159,1,alike,-13.421838760375977
174,alive,9.617936541093302,1,alive,-11.400654792785645
175,all,13.597865611575797,1,all,-9.94661808013916
176,alleged,8.38206051742474,1,alleged,-12.8471097946167
177,allers,7.102499355774649,2,all_##ers,-22.853590965271
178,allied,7.260522598089852,1,allied,-13.792559623718262
179,allies,9.173365135851288,1,allies,-13.524534225463867
180,allow,10.742400356388892,1,allow,-11.580110549926758
181,allowed,9.636065519091709,1,allowed,-10.676025390625
182,allowing,7.239214973779806,1,allowing,-12.389093399047852
183,allude,8.682368589375221,2,all_##ude,-25.89355087280273
184,alluvion,7.441906728051625,4,all_##u_##vio_##n,-41.76735019683838
185,ally,9.927692241232943,1,ally,-14.995330810546877
186,almost,8.962519832949532,1,almost,-11.298441886901855
187,alms,9.329367078397825,2,al_##ms,-25.277459144592285
188,alone,10.753510268558554,1,alone,-11.051626205444336
189,along,9.784929216411992,1,along,-11.004257202148438
190,aloud,7.798523053625206,1,aloud,-13.609563827514648
191,already,9.67357111693449,1,already,-11.560670852661133
192,also,10.523418670764814,1,also,-9.774224281311035
193,altar,10.086350629348315,1,altar,-12.541781425476074
194,alter,11.744521195766085,1,alter,-13.247573852539062
195,alteration,8.949494953477961,2,alter_##ation,-30.04633045196533
196,altered,8.517593111437565,1,altered,-14.129712104797363
197,altering,7.446585099157725,1,altering,-15.282632827758787
198,alternating,7.659642954564682,1,alternating,-15.058993339538574
199,alternative,9.674074388208323,1,alternative,-13.316375732421877
200,although,8.10258642539079,1,although,-10.82716464996338
201,altogether,9.667765219015058,1,altogether,-13.187835693359377
202,always,8.839131752546109,1,always,-11.919490814208984
203,am,14.405687696739024,1,am,-10.07025909423828
204,amalgamated,6.436150368369428,1,amalgamated,-14.417747497558594
205,amass,8.912742634737025,2,am_##ass,-24.729382514953613
206,amazement,7.095893221097532,1,amazement,-15.116902351379396
207,ambassador,8.674880467251832,1,ambassador,-12.943504333496094
208,ambition,9.343384145733948,1,ambition,-14.274003982543944
209,ambitious,7.53955882930103,1,ambitious,-15.216367721557615
210,ambrose,5.857933154483459,3,am_##bro_##se,-35.17208480834961
211,amelioration,7.438383530044307,3,am_##eli_##oration,-41.5226993560791
212,amendment,9.82211479407039,1,amendment,-14.475576400756836
213,amends,7.166265974133638,2,am_##ends,-25.46448802947998
214,america,10.03797473824488,3,am_##eric_##a,-33.44931221008301
215,american,9.707046787181287,3,am_##eric_##an,-35.03135585784912
216,americans,6.0867747269123065,3,am_##eric_##ans,-37.17149543762207
217,amethyst,8.644530439877432,4,am_##eth_##ys_##t,-41.05359363555908
218,amid,10.189418091949102,1,amid,-13.216363906860352
219,amidst,8.031710375322042,1,amidst,-13.74575424194336
220,amiss,9.469700127423376,2,am_##iss,-24.98994731903076
221,among,9.949989386187548,1,among,-11.500779151916504
222,amongst,8.231376045573969,1,amongst,-12.76728057861328
223,amount,10.325809777710717,1,amount,-12.955432891845703
224,amphitheater,7.3938782901077555,4,am_##phi_##the_##ater,-48.75104141235352
225,amply,7.201170883281678,3,am_##p_##ly,-28.481669425964355
226,amuse,9.50599061407714,2,am_##use,-23.62527561187744
227,amused,7.080867896690782,1,amused,-15.057826042175291
228,amusement,8.468423027046809,1,amusement,-14.794886589050291
229,amusing,7.402451520818244,1,amusing,-14.574356079101562
230,an,15.41871005186678,1,an,-8.215137481689453
231,analogue,7.720905251936779,1,analogue,-14.639935493469238
232,analogy,8.481980435660493,1,analogy,-15.057798385620115
233,analysis,10.284386706699042,1,analysis,-13.087626457214355
234,anaxagoras,4.23410650459726,4,an_##ax_##ago_##ras,-47.60622978210449
235,ancient,9.28785681440401,1,ancient,-13.219389915466309
236,and,13.478237600851957,1,and,-6.198012828826904
237,andella,0.0,2,and_##ella,-22.259962558746334
238,anders,8.754791763700032,2,and_##ers,-19.708117961883545
239,anecdotes,7.095893221097532,4,an_##ec_##dote_##s,-40.553555488586426
240,angel,10.75851971168943,1,angel,-12.671854972839355
241,angels,8.915029272359911,1,angels,-12.909783363342283
242,anger,9.592059086354348,1,anger,-13.439587593078612
243,angor,7.905441649060286,2,an_##gor,-24.70516157150269
244,angrier,6.61338421837956,3,an_##g_##rier,-34.53447866439819
245,angrily,6.565264970035361,1,angrily,-14.374948501586914
246,angry,8.028129059431759,1,angry,-13.039081573486328
247,animal,11.134180181561446,1,animal,-12.63855266571045
248,animals,10.180702535638066,1,animals,-12.545896530151367
249,animated,7.51479976048867,1,animated,-13.179193496704102
250,animosity,7.033506484287697,3,an_##imo_##sity,-37.94820165634155
251,annals,7.672292455628756,3,an_##nal_##s,-28.26740312576294
252,anne,10.917757626103253,2,an_##ne,-23.10649824142456
253,anne's,0.0,4,an_##ne_'_s,-23.076801300048828
254,announced,8.37816098272068,1,announced,-11.524293899536133
255,annoyance,7.79934339821592,1,annoyance,-14.798500061035156
256,another,10.908832573233797,1,another,-10.81824016571045
257,another's,5.66988092298052,3,another_'_s,-15.75407886505127
258,answer,10.847354540180389,1,answer,-11.43539810180664
259,answerd,7.138073034044347,2,answer_##d,-24.087066650390625
260,answered,8.552174160311482,1,answered,-11.55236530303955
261,answers,8.646465527120377,1,answers,-12.226716995239258
262,antarctic,7.8399193600125825,3,ant_##ar_##ctic,-41.97777271270752
263,ante,12.042347106018292,2,ant_##e,-25.13297176361084
264,antedating,6.625392368007956,3,ant_##eda_##ting,-40.9849214553833
265,anti,13.730351282956224,1,anti,-11.209339141845703
266,antichrist,8.441175704992322,3,anti_##ch_##rist,-32.65842342376709
267,anticipate,8.831857935197906,3,anti_##ci_##pate,-38.08665370941162
268,anticipation,7.717796211013582,1,anticipation,-14.41788387298584
269,antipathy,7.326465613840322,2,anti_##pathy,-29.21437263488769
270,anxiety,9.243678431586693,1,anxiety,-14.108502388000488
271,anxious,8.223090551161533,1,anxious,-14.78102970123291
272,any,11.665483448558495,1,any,-9.682254791259766
273,anybody,8.07215530818825,1,anybody,-13.205745697021484
274,anyhow,6.836259277277067,2,any_##how,-24.70874118804932
275,anymore,7.280697195384741,1,anymore,-10.550512313842772
276,anyone,8.682199026000504,1,anyone,-11.371866226196287
277,anything,9.521934264474275,1,anything,-9.977787017822266
278,anywhere,8.31996102188653,1,anywhere,-12.826316833496094
279,apart,10.384678371172429,1,apart,-12.26068878173828
280,apartment,8.76201995356159,1,apartment,-13.128206253051758
281,apollo,7.473637108496206,3,a_##pol_##lo,-30.667126655578613
282,apostle,9.129347212766652,2,a_##postle,-24.064821243286133
283,apostles,8.504310565585223,3,a_##postle_##s,-28.414177894592285
284,apostolic,9.31325790598287,3,a_##post_##olic,-32.44166946411133
285,apostolical,7.257002707092073,4,a_##post_##olic_##al,-44.8125
286,appalling,7.161622002939187,3,app_##all_##ing,-35.70417594909668
287,apparatus,9.10974625674048,1,apparatus,-14.256038665771484
288,apparent,9.852878234709586,1,apparent,-12.821036338806152
289,apparently,6.881411303642535,1,apparently,-12.8917875289917
290,appeal,10.458980567797278,1,appeal,-12.77194881439209
291,appealed,7.24850407237061,1,appealed,-12.641587257385254
292,appeals,8.717027173294824,1,appeals,-14.22544288635254
293,appear,11.362265352684352,1,appear,-11.37984561920166
294,appearance,9.737728084041152,1,appearance,-11.094033241271973
295,appearances,7.956476798036782,1,appearances,-11.77216339111328
296,appeared,9.507700460979237,1,appeared,-10.582337379455566
297,appears,8.951310542097564,1,appears,-11.30005168914795
298,appetite,8.370084326378025,1,appetite,-14.898908615112305
299,appetites,7.336936913707618,2,appetite_##s,-25.333714485168457
300,applauded,7.072421900537371,3,app_##lau_##ded,-39.46236610412598
301,applause,8.178077463849608,1,applause,-13.922233581542969
302,apple,9.992459506338392,1,apple,-14.944622039794922
303,application,10.2985992485648,1,application,-12.983137130737305
304,applying,7.107425474110705,1,applying,-15.03469181060791
305,appointed,9.172638504792172,1,appointed,-12.09490203857422
306,apposition,7.951911381854188,3,app_##os_##ition,-37.44012260437012
307,appreciate,8.495152060539358,1,appreciate,-13.09299373626709
308,appreciative,7.1308988302963465,4,app_##re_##cia_##tive,-46.15986347198486
309,apprehension,8.381144346952961,2,app_##rehension,-30.25439167022705
310,apprentice,9.086249986745132,1,apprentice,-14.325648307800291
311,apprenticeship,7.905441649060286,1,apprenticeship,-15.415937423706056
312,approach,10.570573058768217,1,approach,-12.984485626220703
313,approached,7.601901959875166,1,approached,-13.03079605102539
314,approaches,8.852807917623322,1,approaches,-13.594797134399414
315,approaching,7.581719640125308,1,approaching,-13.909260749816896
316,approbation,8.307212626628308,3,app_##ro_##bation,-37.70669937133789
317,appropriate,9.721965675912738,1,appropriate,-12.146255493164062
318,approval,9.71317414581262,1,approval,-13.256460189819336
319,approve,9.764800032762237,1,approve,-13.95503044128418
320,approves,7.089243155027514,2,approve_##s,-24.384621620178223
321,approving,7.427144133408616,2,app_##roving,-29.585570335388184
322,approximately,7.360739903058278,1,approximately,-12.352070808410645
323,april,8.27308133366583,3,a_##p_##ril,-30.206809997558597
324,apron,8.834336974017637,1,apron,-15.610645294189451
325,arc,12.899252325562005,1,arc,-13.658729553222656
326,arcadian,6.424869023905388,3,arc_##adia_##n,-35.969682693481445
327,arch,12.47133654813459,1,arch,-13.132511138916016
328,arched,6.849066282633458,1,arched,-13.379230499267578
329,architectural,7.552762084214147,1,architectural,-13.946771621704102
330,archives,8.31434234336979,1,archives,-13.943965911865234
331,ardle,5.945420608606575,3,a_##rd_##le,-28.6677770614624
332,ardour,7.858640655620791,3,a_##rdo_##ur,-31.33390712738037
333,arduous,7.552762084214147,3,a_##rd_##uous,-33.498435974121094
334,are,12.545383706018088,1,are,-8.218405723571777
335,area,11.330539906128186,1,area,-11.533319473266602
336,aren't,6.548219102762372,3,aren_'_t,-8.536889553070068
337,argue,9.777640842670152,1,argue,-13.479863166809082
338,arguing,7.318539548567902,1,arguing,-14.159064292907717
339,argus,7.519149957669823,2,a_##rgus,-24.966297149658203
340,argyle,6.22455842927536,3,a_##rgy_##le,-32.457945823669434
341,argyle's,0.0,5,a_##rgy_##le_'_s,-31.56499147415161
342,arians,6.238324625039508,2,a_##rians,-24.158884048461918
343,arid,9.670609272125022,1,arid,-15.095413208007812
344,arise,9.98686316145718,1,arise,-13.593988418579102
345,arising,7.578145472419466,1,arising,-14.965130805969238
346,aristocracy,8.662158961666423,1,aristocracy,-16.096107482910156
347,arm,12.495692838612214,1,arm,-11.90367031097412
348,armed,7.781138509845015,1,armed,-12.89228343963623
349,armour,9.123147160273806,1,armour,-14.01935863494873
350,arms,10.22625922065976,1,arms,-11.82739543914795
351,army,10.361292074324863,1,army,-12.019234657287598
352,aronnax,0.0,4,a_##ron_##na_##x,-39.316100120544434
353,arose,8.831419819090131,1,arose,-14.12445831298828
354,around,9.468542139105455,1,around,-10.456110954284668
355,arouse,8.386172928977834,2,a_##rouse,-25.195789337158203
356,arranged,7.79934339821592,1,arranged,-11.843688011169434
357,arrangement,9.985390068155764,1,arrangement,-13.145849227905272
358,arrangements,9.202812105555392,1,arrangements,-12.981837272644045
359,arranging,6.618738983517219,1,arranging,-14.28552532196045
360,array,9.388653907372598,1,array,-13.294987678527832
361,arrest,10.394549148260978,1,arrest,-13.118144035339355
362,arresting,7.182352111885263,2,arrest_##ing,-26.090718269348145
363,arrests,7.609862200913554,1,arrests,-14.533843994140623
364,arrival,9.079662048334066,1,arrival,-12.762429237365724
365,arrive,10.197387752301138,1,arrive,-12.811391830444336
366,arrived,9.358329249689632,1,arrived,-11.60601043701172
367,arriving,7.005789019253503,1,arriving,-13.844781875610352
368,arrondissement,7.106606137727303,1,arrondissement,-14.939085960388184
369,arrow,10.064840802893888,1,arrow,-13.651570320129396
370,arrows,8.781401907682376,1,arrows,-14.0575590133667
371,art,13.12833352058131,1,art,-11.408740997314451
372,arthur,7.757906208351747,2,art_##hur,-30.69431781768799
373,artichokes,6.53813982376767,4,art_##ich_##oke_##s,-45.55838203430176
374,article,10.419241014538416,1,article,-12.854888916015623
375,articulate,8.545974992841689,2,art_##iculate,-29.65067958831787
376,artifice,8.559486103606488,2,art_##ifice,-29.04992389678955
377,artillery,8.853379672927634,1,artillery,-14.282617568969728
378,as,14.624289127715326,1,as,-8.169761657714844
379,ascendency,7.311886164077165,3,as_##cend_##ency,-35.0593638420105
380,ascertain,9.346094292953802,3,as_##cer_##tain,-34.491079807281494
381,ascertaining,6.784457062637643,3,as_##cer_##taining,-35.44989252090454
382,ascribes,6.876264611890766,3,as_##cribe_##s,-28.41023874282837
383,ashamed,7.47477218239787,1,ashamed,-14.138148307800291
384,ashore,7.776954403322442,1,ashore,-13.282861709594728
385,asia,9.334061298965942,2,as_##ia,-22.337236881256104
386,aside,9.351839934249885,1,aside,-13.026677131652832
387,ask,10.975139659621457,1,ask,-12.080912590026855
388,asked,9.204121072162266,1,asked,-10.191675186157228
389,asking,7.867871490396322,1,asking,-13.036209106445312
390,asleep,8.418697944667139,1,asleep,-13.40272331237793
391,aspect,9.882519246099932,1,aspect,-13.060654640197754
392,ass,13.698000984913584,1,ass,-12.347658157348633
393,assembled,7.810758116529357,1,assembled,-13.428513526916504
394,assembly,9.691901950055648,1,assembly,-13.61143684387207
395,assent,10.043249494911286,2,ass_##ent,-26.910415649414062
396,asserted,8.615408238913192,1,asserted,-14.486543655395508
397,assertive,7.550135342488429,2,assert_##ive,-29.396703720092773
398,asserts,7.333676395657684,1,asserts,-14.738040924072266
399,assiduously,6.401917196727186,4,ass_##id_##uous_##ly,-47.73988437652588
400,assist,10.926190247103888,1,assist,-13.88238525390625
401,assistant,9.145588494746486,1,assistant,-12.40400505065918
402,assisted,7.258412150595307,1,assisted,-13.674844741821287
403,associated,8.21878715560148,1,associated,-12.672796249389648
404,associates,10.527365037582602,1,associates,-14.92361831665039
405,association,10.341871507401402,1,association,-13.866156578063965
406,assumed,8.902455592206882,1,assumed,-13.022287368774414
407,assurance,7.964155718840937,1,assurance,-14.057985305786133
408,assurances,6.714170529909472,2,assurance_##s,-24.913628578186035
409,assure,9.688188155244967,1,assure,-13.683530807495115
410,assured,8.915297945118109,1,assured,-12.563970565795898
411,assuredly,6.710523109452428,2,assured_##ly,-25.92631721496582
412,assures,7.093404625868766,2,assure_##s,-23.947044372558597
413,astonished,7.353722330399631,1,astonished,-15.218870162963867
414,astonishing,7.496097345175956,3,as_##ton_##ishing,-32.528103828430176
415,astonishment,7.790696031174738,1,astonishment,-14.398744583129885
416,astor,8.099857910737585,2,as_##tor,-22.70704412460327
417,astounding,7.263329617476836,4,as_##to_##und_##ing,-41.32740497589111
418,astronomy,7.75833346749091,1,astronomy,-13.970663070678713
419,at,14.375225198156508,1,at,-8.359223365783691
420,atchison,4.564348191467836,3,at_##chi_##son,-33.183403968811035
421,ate,11.490066170824146,1,ate,-13.51450252532959
422,athenais,0.0,3,at_##hen_##ais,-38.237911224365234
423,athenian,5.82600010738045,2,at_##henian,-26.82251739501953
424,athenians,4.969813299576001,3,at_##henian_##s,-31.77708148956299
425,athens,6.253828811575473,3,at_##hen_##s,-29.65098571777344
426,athlete,7.987864096085687,1,athlete,-13.411450386047363
427,atholemen,0.0,3,at_##hole_##men,-32.36162567138672
428,atlantic,8.17413934342947,3,at_##lant_##ic,-36.32405185699463
429,atlantis,6.966967138613983,3,at_##lant_##is,-34.703304290771484
430,atmosphere,9.174505918966966,1,atmosphere,-13.039925575256348
431,atmospheric,7.620214770574455,1,atmospheric,-14.678247451782228
432,atrocious,7.593877844605118,3,at_##ro_##cious,-31.85555076599121
433,attached,8.738735461363474,1,attached,-12.299072265625
434,attack,10.708958449305038,1,attack,-11.681439399719238
435,attacked,8.479698986988657,1,attacked,-11.88075351715088
436,attained,8.722580021141189,1,attained,-13.390460968017578
437,attainment,8.309922989258318,2,attain_##ment,-29.36118698120117
438,attainments,6.918695219020472,2,attain_##ments,-30.38604164123535
439,attempt,10.06713584406446,1,attempt,-11.912174224853516
440,attempts,8.1797604936999,1,attempts,-12.819403648376465
441,attend,10.950683732257744,1,attend,-12.99307346343994
442,attendance,8.853808274977197,1,attendance,-14.459554672241213
443,attendant,8.104703468371108,1,attendant,-13.697535514831545
444,attendants,7.437206366871292,2,attendant_##s,-24.270859718322757
445,attended,8.3030093814735,1,attended,-12.609760284423828
446,attention,10.200736218857122,1,attention,-12.32077693939209
447,attentively,6.532334292222349,4,at_##ten_##tive_##ly,-41.68464136123657
448,attenuating,6.675823221634848,3,at_##ten_##uating,-37.654422760009766
449,attire,8.672999642554437,1,attire,-14.96038818359375
450,attitude,9.896513288798792,1,attitude,-14.0272216796875
451,attorneys,8.41803561988302,1,attorneys,-15.143619537353516
452,attracted,6.848005274576363,1,attracted,-12.862911224365234
453,attraction,8.318010277546872,1,attraction,-13.740177154541016
454,attractive,8.840001065843392,1,attractive,-13.034523010253906
455,attributed,7.374001859350161,1,attributed,-13.926671981811523
456,au,14.4713996980682,1,au,-12.37832736968994
457,auction,9.220488703027998,1,auction,-13.636526107788086
458,audacious,7.48605261786314,3,au_##da_##cious,-39.07964897155762
459,audience,9.923094082175046,1,audience,-13.95783233642578
460,auditors,7.415776975415394,2,audit_##ors,-29.20608425140381
461,auditory,7.801800401908973,2,audit_##ory,-31.77774333953857
462,augment,10.011803696019587,2,au_##gment,-30.248051643371586
463,august,9.877092241176596,3,au_##gus_##t,-35.409969329833984
