Index	Word	Unigram_freq	Unigram_prob
46	apartment	6739949	2.6051967445482562e-05
47	applauded	573636	2.217278854418162e-06
48	appointment	5019877	1.940336227830903e-05
49	appraiser	198672	7.679281365970145e-07
50	apprehended	652100	2.520566249269717e-06
51	apprentice	700352	2.7070750096741986e-06
52	approached	5587440	2.159716712746448e-05
53	approved	6299093	2.43479239638263e-05
54	archaeologist	274841	1.0623446534512164e-06
55	architect	2510676	9.704531802563251e-06
56	archivist	106591	4.1200686562783067e-07
57	aristocrat	319082	1.2333496702184937e-06
58	arranged	7023963	2.7149768553778975e-05
59	arsonist	36048	1.3933656211267407e-07
60	article	12770927	4.9363544806145315e-05
61	artisan	351921	1.360282464360141e-06
62	artist	8276096	3.198964614831484e-05
63	assailant	275931	1.0665578373366697e-06
64	assassin	452918	1.7506668064510682e-06
65	assignment	4685302	1.8110127417322347e-05
66	assistant	4728032	1.8275291956244744e-05
67	assisted	2836017	1.0962074425019407e-05
68	assuaged	80311	3.1042661561892386e-07
69	asylum	954179	3.6881941161814585e-06
70	ate	4485636	1.7338357166246305e-05
71	athlete	1200056	4.6385840374691296e-06
72	attacked	4845285	1.8728510717823678e-05
73	attacker	484907	1.8743140902233256e-06
74	attendant	1669252	6.452170300147176e-06
75	attended	6394541	2.4716859721164585e-05
76	attired	233609	9.0297034339158e-07
77	attorney	6277485	2.4264402424930087e-05
78	au	2501217	9.667969870111415e-06
79	audience	12295575	4.752616371778025e-05
80	auditor	963468	3.724098946559417e-06
81	aunt	2682704	1.0369472717651996e-05
82	author	21245280	8.211951498893564e-05
83	autographed	90346	3.492149645093112e-07
84	aviator	146617	5.667196162692503e-07
85	awed	329110	1.2721109619646627e-06
86	baby	14069943	5.438463955673778e-05
87	bachelor	1092158	4.221525216485072e-06
88	badgered	54493	2.106321371284384e-07
89	baffled	516962	1.9982164842125e-06
90	bag	6889568	2.6630290711315234e-05
91	baguette	40046	1.5479005676775814e-07
92	bailiff	212480	8.213002862211769e-07
93	baker	408109	1.577466295695775e-06
94	ballerina	126577	4.892588776779834e-07
95	ballot	1177820	4.552635086205886e-06
96	banished	809280	3.128115096164693e-06
97	banker	1073049	4.147663078074867e-06
98	banner	1149911	4.4447582522067006e-06
99	barber	595755	2.3027755648423252e-06
100	baron	451127	1.7437440428374475e-06
101	baroness	67538	2.610550580327835e-07
102	barrister	164638	6.363763014066364e-07
103	basin	2307611	8.919623375315965e-06
104	basted	30498	1.1788411205371542e-07
105	battery	2945794	1.1386396156572974e-05
106	bear	12399434	4.792761056655023e-05
107	beat	7285047	2.815893818822819e-05
108	beaten	2700139	1.0436864333287661e-05
109	befriended	236635	9.146667603066086e-07
110	befuddled	86712	3.3516844135358947e-07
111	begged	1713495	6.623183047527087e-06
112	beginner	398325	1.539648138690937e-06
113	begrudged	28006	1.0825176871192714e-07
114	believed	17566020	6.789804806930966e-05
115	belittled	78334	3.0278490503035424e-07
116	bellboy	33395	1.2908190445386015e-07
117	bemused	181464	7.01413945495292e-07
118	benefactor	382827	1.4797436213911638e-06
119	beneficiary	1592398	6.155106048465877e-06
120	bent	5129947	1.982881654461346e-05
121	berated	102019	3.943346851468291e-07
122	betrayed	1620859	6.2651165315520074e-06
123	beverage	615866	2.3805107401820938e-06
124	biased	1210024	4.677113410836283e-06
125	biker	96766	3.740302310639985e-07
126	billed	526849	2.036432767767982e-06
127	biologist	362569	1.4014402460228063e-06
128	blackmailer	45896	1.7740209872179563e-07
129	blamed	1659687	6.415198645225745e-06
130	blew	2282094	8.820992354026875e-06
131	blonde	890594	3.4424186140194973e-06
132	blown	2161892	8.356374804119318e-06
133	book	57317077	0.00022154805979603367
134	bookkeeper	216907	8.384119972862238e-07
135	bookseller	262297	1.013858251011653e-06
136	bookworm	29492	1.1399561389888436e-07
137	borrowed	2678814	1.035443667607914e-05
138	boss	3423036	1.3231082673877036e-05
139	botanist	235215	9.091780253365688e-07
140	bothered	1501699	5.80452663082669e-06
141	bottle	5545849	2.1436405172437064e-05
142	bought	8749138	3.3818098379087795e-05
143	bowler	111471	4.308695604544466e-07
144	boy	22065661	8.529053885052456e-05
145	boyfriend	1178044	4.553500914820878e-06
146	bribed	224401	8.673786028252933e-07
147	bricklayer	68864	2.6618045420903203e-07
148	brochure	679167	2.625188495350047e-06
149	broker	1706491	6.596110442083313e-06
150	brunette	176566	6.824816751549714e-07
151	bulb	1298124	5.01764689735777e-06
152	bully	505965	1.9557097106452265e-06
153	bum	444210	1.7170077190432463e-06
154	bureaucrat	219000	8.465020834075571e-07
155	burgled	13129	5.0747606634967203e-08
156	burial	2184826	8.445021739191777e-06
157	burned	5221233	2.0181664897060683e-05
158	burnt	1617838	6.253439441168563e-06
159	bus	6287148	2.4301752879870575e-05
160	busboy	35750	1.3818470083022907e-07
161	businessman	1071904	4.143237302341982e-06
162	butcher	778185	3.007923396239771e-06
163	button	7589641	2.9336287300527012e-05
164	buyer	3324159	1.2848892781177999e-05
165	by	1073045510	0.004147649588155821
166	bystander	189537	7.326185633918637e-07
167	cabbie	63633	2.459610368651739e-07
168	cadet	260592	1.0072679037412883e-06
169	calculated	7935227	3.0672083049369404e-05
170	call	40954725	0.0001583025572506099
171	called	88566592	0.00034233700752651637
172	calmed	475134	1.8365384515879738e-06
173	campaigner	68656	2.653764704951107e-07
174	camper	174598	6.748747523232541e-07
175	canceled	767783	2.9677164799310706e-06
176	candidate	5539908	2.141344138760819e-05
177	capitalist	3028673	1.1706748878813773e-05
178	captain	5270923	2.037373196794891e-05
179	captive	1359851	5.256240660382877e-06
180	car	24885555	9.619029294179612e-05
181	cardiologist	99561	3.848337622198164e-07
182	caretaker	391483	1.5132017128705053e-06
183	carnivore	78106	3.019036151900943e-07
184	carrier	4229235	1.634728876127927e-05
185	cartographer	56185	2.171722354166831e-07
186	cartoonist	151057	5.838815763164171e-07
187	caseworker	107835	4.16815306686091e-07
188	cash	10910450	4.21722313055433e-05
189	cashier	388267	1.5007708877552602e-06
190	cast	10580267	4.0895972869900566e-05
191	caught	13195291	5.1003841656022776e-05
192	cautioned	642194	2.4822765248942134e-06
193	celebrity	843446	3.260177151788906e-06
194	cellist	75019	2.89971414589733e-07
195	chairman	3593525	1.3890074882544026e-05
196	challenged	3413900	1.3195769235365567e-05
197	champion	1572929	6.0798523997815774e-06
198	chancellor	607038	2.3463878160162405e-06
199	changed	19712702	7.619563156434849e-05
200	channeler	5483	2.1193474535724363e-08
201	chaplain	652379	2.5216446697321404e-06
202	character	28552335	0.00011036352083858682
203	charged	8404226	3.2484907846703015e-05
204	charlatan	94115	3.6378330401781846e-07
205	chart	5390314	2.0835214754433437e-05
206	chased	906235	3.5028758701225914e-06
207	chauffeur	389469	1.5054169859482095e-06
208	cheapskate	11555	4.46636144921202e-08
209	cheerleader	128850	4.98044718936364e-07
210	chef	748150	2.891828921010794e-06
211	chemist	652080	2.520488943143378e-06
212	cherished	1129706	4.366659738073141e-06
213	chief	15378768	5.944364909699302e-05
214	child	59234848	0.00022896083215675784
215	chiropractor	68422	2.644719888169492e-07
216	choked	903452	3.492118722642577e-06
217	chose	6187020	2.391472748896906e-05
218	chosen	11685960	4.516981500738528e-05
219	churchgoer	24045	9.294129039056946e-08
220	cinematographer	62767	2.42613681594713e-07
221	cited	7361875	2.845590194194525e-05
222	citizen	4730686	1.8285550479209876e-05
223	claims	13060781	5.048391930333259e-05
224	clay	4172979	1.6129842089114084e-05
225	cleaned	1820364	7.036264468311025e-06
226	clergyman	826132	3.193253238217589e-06
227	clerk	3308889	1.2789869553718485e-05
228	closed	18224259	7.044234343405901e-05
229	clown	631755	2.4419265922517867e-06
230	coach	3397366	1.3131860260721455e-05
231	cobbler	168832	6.525873960998387e-07
232	coddled	46367	1.7922265799706942e-07
233	collaborator	275236	1.0638714494464037e-06
234	colonel	1636838	6.326880261190224e-06
235	comedian	349634	1.3514425088133235e-06
236	comforted	614932	2.3769005440820816e-06
237	commander	4411146	1.7050430498698228e-05
238	commended	441408	1.70617713074321e-06
239	commentator	549549	2.1241752211622815e-06
240	communist	2192381	8.47422412841618e-06
241	company	39687885	0.00015340583259607093
242	compensated	1101491	4.257600120340975e-06
243	competitor	1056526	4.08379662180024e-06
244	complaint	3852161	1.4889782247129401e-05
245	completed	11453342	4.4270675182553775e-05
246	complimented	237635	9.18532066623538e-07
247	composer	2405371	9.29749572085899e-06
248	computer	21741054	8.403583336290504e-05
249	concealed	2161899	8.356401861263536e-06
250	concert	2800563	1.0825033854858989e-05
251	conductor	2035490	7.867792355046797e-06
252	confectioner	47070	1.8193996833787084e-07
253	confirmed	5758944	2.2260082622043152e-05
254	confronted	2711025	1.0478942057853757e-05
255	confused	5014410	1.9382230648674376e-05
256	congratulated	351256	1.357712035659383e-06
257	congressman	432863	1.6731480882650475e-06
258	conned	66698	2.5780820072656277e-07
259	connoisseur	172883	6.6824575198972e-07
260	conqueror	449781	1.7385413405348604e-06
261	conservative	5955136	2.3018424798974184e-05
262	constable	427281	1.6515719484039471e-06
263	consulted	1847280	7.140303053137498e-06
264	contacted	1070559	4.138038465345712e-06
265	contender	161999	6.261757580362596e-07
266	contestant	124094	4.796613220930474e-07
267	contract	15433166	5.965391403002135e-05
268	contracted	1729131	6.683620977098596e-06
269	contradicted	518675	2.0048377539334006e-06
270	convalescent	163574	6.322636154854235e-07
271	convict	677142	2.6173612500582652e-06
272	convinced	6736212	2.6037522795776198e-05
273	cook	4453379	1.721367398038111e-05
274	cooked	2945363	1.1384730209550378e-05
275	cop	1452976	5.616197311146935e-06
276	copycat	35418	1.369014191330085e-07
277	corporation	8750160	3.38220487221437e-05
278	costumed	127160	4.915123512607533e-07
279	couch-potato	0	0.0
280	count	8472725	3.2749677464106367e-05
281	countess	314510	1.2156774897374921e-06
282	courier	387634	1.4983241488566439e-06
283	courted	292590	1.1309499752703979e-06
284	cousin	3791665	1.4655946676180434e-05
285	crackhead	7713	2.9813107622477116e-08
286	craftsman	395071	1.5270704319356484e-06
287	crane	510539	1.973389621738862e-06
288	crashed	929061	3.591105352112824e-06
289	created	23176821	8.958551261764393e-05
290	creditor	1357372	5.246658566023209e-06
291	criminal	8820197	3.409276318066249e-05
292	critic	3002100	1.1604036094054006e-05
293	criticized	2362710	9.132597888072462e-06
294	crop	4026413	1.5563319603466996e-05
295	crowd	8209866	3.17336469109446e-05
296	cryptographer	9350	3.614061406329068e-08
297	culprit	406947	1.572974809755503e-06
298	cultivated	2483715	9.600319278952516e-06
299	curator	307117	1.1871012801364325e-06
300	cure	3767940	1.4564242283811283e-05
301	cushion	760046	2.937810604956987e-06
302	custodian	375530	1.4515384811965294e-06
303	customer	7979823	3.084446024987919e-05
304	cyclist	84969	3.284312124431814e-07
305	cynic	124544	4.814007099356657e-07
306	dad	3035223	1.1732066635189661e-05
307	damsel	215769	8.34013278697558e-07
308	dancer	1069585	4.134273656993023e-06
309	dazzled	290169	1.1215920686771116e-06
310	dealer	2257668	8.726578381929555e-06
311	dean	894400	3.457129969861731e-06
312	deceived	1129187	4.364653644094654e-06
313	deceiver	95829	3.7040843904503557e-07
314	deckhand	22427	8.668722476977755e-08
315	decorated	2497730	9.654491546984281e-06
316	deer	2863360	1.106776349564321e-05
317	defeated	3382056	1.3072682421009265e-05
318	defendant	8693883	3.360452087854586e-05
319	defended	2134292	8.249692349772064e-06
320	defender	709854	2.7438031502976623e-06
321	defied	468457	1.8107298013098356e-06
322	delivered	7498188	2.8982793441924858e-05
323	dentist	1020633	3.945059182166691e-06
324	depicted	2646586	1.0229865584097137e-05
325	deprecated	115326	4.4577031630620975e-07
326	dermatologist	69392	2.6822133594437077e-07
327	desk	7386058	2.8549376644607556e-05
328	detective	1816442	7.021104736936027e-06
329	detested	326420	1.2617132879721223e-06
330	devastated	655674	2.534380854046423e-06
331	devoured	510532	1.9733625645946436e-06
332	dietitian	101844	3.936582565413664e-07
333	digger	113118	4.372357199584294e-07
334	dinner	11381640	4.3993524989017296e-05
335	diplomat	611587	2.3639710944519528e-06
336	director	9857548	3.810244255383561e-05
337	disappointed	2552707	9.866994492370114e-06
338	disciplined	1101122	4.256173822310028e-06
339	discouraged	1543086	5.964500063365451e-06
340	discovered	12899389	4.986008978623071e-05
341	discredited	443846	1.715600747543884e-06
342	disdained	169683	6.558767717755458e-07
343	disease	29647844	0.00011459799869653992
344	disgusted	680785	2.6314425609708392e-06
345	disillusioned	410053	1.584980451175886e-06
346	disobeyed	189599	7.328582123835134e-07
347	disparaged	105026	4.0595766124183606e-07
348	displeased	425266	1.6437833561753341e-06
349	dissuaded	129340	4.999387190316596e-07
350	distributor	764867	2.956445246710904e-06
351	distrusted	227205	8.782169217379636e-07
352	ditch	1114382	4.307427784072513e-06
353	ditched	65406	2.528142249650899e-07
354	diva	83279	3.2189884476757054e-07
355	diver	363227	1.403983617579346e-06
356	doctor	12644324	4.887418543050309e-05
357	dodged	208920	8.075397957329079e-07
358	domestic	12199275	4.715393471945994e-05
359	donna	159934	6.181939004918002e-07
360	donned	271226	1.0483715711155163e-06
361	donor	2306014	8.913450481127828e-06
362	door	38439035	0.00014857864480217355
363	draftsman	130210	5.033015355273882e-07
364	dragged	2492812	9.635481970517623e-06
365	dramatist	479938	1.855107383134503e-06
366	drank	2560626	9.897603853093878e-06
367	dreaded	892280	3.4489355204698405e-06
368	dressmaker	114616	4.430259488211898e-07
369	driven	7770074	3.003371611520955e-05
370	driver	6220714	2.4044965120011682e-05
371	drove	6788045	2.6237873218101603e-05
372	drummer	420035	1.623563938831476e-06
373	drunk	3559644	1.3759114439220138e-05
374	duped	168007	6.493985183883719e-07
375	dwarf	870517	3.364814859094504e-06
376	eaten	3184732	1.2309964717327472e-05
377	economist	945994	3.656556583977391e-06
378	edited	6163448	2.38236144884664e-05
379	editor	7828822	3.0260795130716523e-05
380	elderly	5206809	2.0125911718745294e-05
381	emailed	29316	1.1331531998710477e-07
382	embarrassed	2059977	7.962442110829448e-06
383	embezzler	21650	8.368388176152335e-08
384	embraced	2061953	7.970079956111701e-06
385	emissary	231457	8.946522041975477e-07
386	employed	13693471	5.292945995699071e-05
387	employee	9741236	3.76528610455009e-05
388	emptied	885525	3.4228253762989817e-06
389	emt	2298	8.882473916303955e-09
390	emulated	175349	6.777775973672682e-07
391	enchanted	543140	2.0994024729770803e-06
392	encouraged	6682650	2.583048925882882e-05
393	engrossed	378261	1.4620946327480639e-06
394	entertained	1516229	5.860689531611675e-06
395	entertainer	200626	7.754809451402947e-07
396	enthusiast	257131	9.938900785783953e-07
397	entomologist	53620	2.0725772471375898e-07
398	entrepreneur	806815	3.118587116093462e-06
399	envelope	2777743	1.0736827564706657e-05
400	envied	405156	1.5660520461418823e-06
401	environmentalist	112424	4.345531973744804e-07
402	envoy	412342	1.5938281373353376e-06
403	erased	627902	2.4270335670126573e-06
404	established	27338466	0.00010567154532496194
405	estate	11552157	4.465262542626117e-05
406	esteemed	784799	3.0334885322199424e-06
407	evangelist	388688	1.5023981817146875e-06
408	evicted	180952	6.994349086610241e-07
409	ex-wife	0	0.0
410	examined	8124146	3.14023128534574e-05
411	excavator	58235	2.2509611336638853e-07
412	executive	8223197	3.1785175309455586e-05
413	exiled	695736	2.689232755715252e-06
414	exited	336302	1.2999102449960196e-06
415	exorcist	43321	1.674489349557022e-07
416	expelled	1236569	4.779717967019176e-06
417	experimenter	690803	2.6701651996538386e-06
418	expert	5844583	2.259110358971868e-05
419	expression	23678601	9.152504602135281e-05
420	exterminator	25346	9.797005390889472e-08
421	extolled	215803	8.341446991123335e-07
422	extortionist	13098	5.062778213914239e-08
423	failed	13196666	5.1009156452208555e-05
424	fairy	1652666	6.388060329574583e-06
425	fan	2779004	1.0741701715972305e-05
426	farmed	333215	1.2879780443956582e-06
427	farmer	3979518	1.538205606373459e-05
428	father	50243647	0.00019420708613467516
429	faucet	256469	9.91331245796588e-07
430	favored	3447763	1.3326660103175751e-05
431	feared	4219467	1.63095324491755e-05
432	fed	4936151	1.9079735641617793e-05
433	fedora	52427	2.0264641427766208e-07
434	felled	260059	1.005207695474365e-06
435	felon	160048	6.186345454119302e-07
436	fieldworker	33443	1.2926743915707275e-07
437	fighter	1493152	5.771489857735894e-06
438	filed	4982934	1.9260566267042705e-05
439	filet	126369	4.88454893964062e-07
440	filmmaker	280964	1.0860119240297757e-06
441	financier	225249	8.706563825820495e-07
442	finished	11862894	4.5853719115264884e-05
443	fired	4850145	1.8747296106523956e-05
444	firefighter	109899	4.247932989242334e-07
445	first	215391500	0.000832554125562917
446	fisherman	690832	2.6702772935370297e-06
447	fixed	15681952	6.061554812738497e-05
448	flag	3941135	1.5233694011371885e-05
449	flattered	503350	1.945601934626456e-06
450	flight-attendant	0	0.0
451	flora	808630	3.125602647058689e-06
452	florist	150026	5.798964455036629e-07
453	flustered	192355	7.435109965929711e-07
454	fool	3905245	1.5094968167657285e-05
455	fooled	491113	1.89830218122619e-06
456	football	3230014	1.2484993517970672e-05
457	foreigner	698041	2.6981422867757745e-06
458	foreman	785757	3.0371914956715613e-06
459	forger	88377	3.416041763712771e-07
460	forgot	2804531	1.0840371390324564e-05
461	forgotten	6241943	2.4127021707813777e-05
462	form	82414509	0.00031855732224434185
463	fortune-teller	0	0.0
464	found	106253163	0.0004107010221376382
465	frenchman	3238	1.251586185421767e-08
466	freshman	759662	2.936326327331286e-06
467	friend	27958027	0.00010806633837198509
468	frightened	3430922	1.3261564479492341e-05
469	fund	5996711	2.3179124909100525e-05
470	funded	1737276	6.715103897049987e-06
471	funeral	3573630	1.3813174613368715e-05
472	game	18754528	7.249199554943089e-05
473	gangster	287925	1.112918321301922e-06
474	garbled	152929	5.911174297417091e-07
475	gardener	659815	2.550387087504828e-06
476	gave	40661500	0.00015716915280582824
477	general	66680931	0.0002577422238130391
478	geneticist	84628	3.271131429891084e-07
479	genius	4121845	1.593219351590421e-05
480	geologist	294004	1.136415518402536e-06
481	ghost	2363886	9.137143488301172e-06
482	giraffe	136114	5.261223040225399e-07
483	girl	23253994	8.988380990204034e-05
484	girlfriend	1198488	4.632523237164184e-06
485	given	83753558	0.00032373315680272
486	gnome	81037	3.1323282800501464e-07
487	go-between	0	0.0
488	goaded	129797	5.017051640184963e-07
489	goalkeeper	49480	1.912553565616709e-07
490	gold	15777668	6.098551978681619e-05
491	governed	3047911	1.1781109641738862e-05
492	governess	346133	1.3379100713977533e-06
493	governor	5964438	2.305437987833426e-05
494	grain	6108432	2.3610960796134204e-05
495	graph	4839108	1.8704634720704004e-05
496	greeted	2139360	8.269281722186263e-06
497	grilled	581406	2.2473122845007038e-06
498	grocer	259582	1.0033639443611895e-06
499	groundskeeper	17641	6.818786873695303e-08
500	groupie	26931	1.0409656442122795e-07
501	guaranteed	2563232	9.907676841355796e-06
502	guarantor	201085	7.772551207397654e-07
503	guard	7201458	2.7835841098502374e-05
504	guest	3917627	1.5142828390473507e-05
505	guide	9837433	3.802469191727057e-05
506	gun	8504104	3.2870966911025295e-05
507	gunsmith	40616	1.5699328136840795e-07
508	gymnast	71560	2.766013200394739e-07
509	hacker	164016	6.339720808775064e-07
510	hailed	852910	3.296758410772327e-06
511	hairdresser	155945	6.027751935935685e-07
512	hairstylist	12567	4.857530448485284e-08
513	handcuffed	152325	5.887827847262837e-07
514	handyman	79454	3.071140481053153e-07
515	harassed	519007	2.006121035630621e-06
516	hassled	30003	1.1597078542683532e-07
517	hated	3438273	1.328997834622809e-05
518	hatter	48266	1.865628746929185e-07
519	head	64746480	0.0002502649781429485
520	headmaster	208240	8.049113874373959e-07
521	hedonist	34133	1.319345005157541e-07
522	heir	1979316	7.650662637999599e-06
523	helped	13148986	5.082485864701736e-05
524	helper	926867	3.582624870053481e-06
525	hero	5676104	2.1939880646748715e-05
526	hid	1889752	7.304470343030127e-06
527	hidden	7358047	2.8441105549364043e-05
528	hijacker	25470	9.844935189219398e-08
529	hired	4179244	1.6154058233189648e-05
530	historian	3430016	1.3258062511969202e-05
531	hit	12440558	4.808656742352764e-05
532	hitter	330364	1.2769580560860923e-06
533	hoarder	10195	3.94067979010961e-08
534	hockey	581486	2.2476215090060583e-06
535	hoisted	429438	1.659909414129564e-06
536	homeless	1316352	5.088103700902761e-06
537	hoodlum	48172	1.8619953589912713e-07
538	hooligan	24619	9.515997621648699e-08
539	hostage	570041	2.2033830782088e-06
540	hounded	123910	4.789501057307324e-07
541	house	58602104	0.0002265150827765586
542	hugged	1077830	4.1661431075761065e-06
543	humorist	135168	5.224657242467245e-07
544	hung	6469198	2.500543189486759e-05
545	hunter	1663761	6.430945903160917e-06
546	huntsman	92320	3.5684507917893e-07
547	hypnotized	214426	8.288221723139217e-07
548	hypochondriac	56090	2.168050313165748e-07
549	identified	13975023	5.401774468113484e-05
550	idiot	891240	3.444915601900234e-06
551	illness	8132334	3.143396198158042e-05
552	imitated	623124	2.4085651334303683e-06
553	imitator	95062	3.674437490999507e-07
554	immigrant	2293693	8.86582604199694e-06
555	impersonator	47725	1.8447174397545967e-07
556	impressed	3777935	1.4602876020448993e-05
557	industrialist	183923	7.109187337286216e-07
558	infant	6442461	2.4902085199871846e-05
559	infantryman	64636	2.4983793910105416e-07
560	inherited	3052551	1.1799044663049416e-05
561	initialed	57725	2.231248071447545e-07
562	inmate	647030	2.5009691462428845e-06
563	innovator	202484	7.826626842771498e-07
564	inspected	902214	3.4873334734222182e-06
565	inspector	1018879	3.938279434886797e-06
566	instructed	3003689	1.1610178065791606e-05
567	instructor	2209623	8.540869739932678e-06
568	instrumentalist	71997	2.782904588999721e-07
569	insulted	612194	2.3663173353863288e-06
570	insurgent	243996	9.431192801055265e-07
571	intermediary	755287	2.9194156121947196e-06
572	intern	327517	1.265953529001794e-06
573	interpreter	1374469	5.312743708123752e-06
574	interrogated	281174	1.086823638356331e-06
575	interviewee	244957	9.468338394760957e-07
576	interviewer	1104984	4.27110163530601e-06
577	intrigued	642673	2.484128006620023e-06
578	introduced	13940194	5.38831199274225e-05
579	intruder	477858	1.8470675459952897e-06
580	invader	200518	7.750634920580664e-07
581	inventor	928689	3.589667458162926e-06
582	investigator	1396726	5.398773830819651e-06
583	investor	1742456	6.7351261837716825e-06
584	invoiced	28936	1.1184650358667157e-07
585	irked	97033	3.750622678506187e-07
586	ironed	167933	6.491124857209191e-07
587	irritated	934648	3.6127008185055088e-06
588	itinerary	339080	1.3106480659444498e-06
589	jail	3294251	1.2733289199851272e-05
590	jam	940236	3.634300150204511e-06
591	janitor	242959	9.391109574548706e-07
592	jester	118706	4.588350516574314e-07
593	jet	2327073	8.994849966856047e-06
594	jock	97867	3.7828593331893787e-07
595	joker	107169	4.142410126790159e-07
596	journalist	1681860	6.500904082191023e-06
597	judge	11757837	4.544764162952722e-05
598	jury	6272928	2.4246788224043837e-05
599	key	22904797	8.853405653208751e-05
600	kid	4474034	1.729351188235729e-05
601	kidnapped	475076	1.8363142638215917e-06
602	killed	14724982	5.691656594127296e-05
603	king	17539386	6.779509950086456e-05
604	kissed	3494936	1.3508998198064265e-05
605	lab	1924103	7.437247480322972e-06
606	lad	1683696	6.508000784588905e-06
607	lady	10141422	3.9199702519247645e-05
608	landlady	322913	1.2481576587186506e-06
609	landscaper	15245	5.892659480158999e-08
610	laptop	480983	1.8591466282356944e-06
611	lauded	194534	7.519334990575604e-07
612	lawyer	6945789	2.6847602097759327e-05
613	leader	12612445	4.8750963330425696e-05
614	lecturer	637625	2.4646159403321626e-06
615	left	84226157	0.00032555989670279454
616	legislator	484836	1.8740396534748235e-06
617	letter	28815461	0.0001113805834285352
618	liar	699214	2.7026762910855326e-06
619	librarian	993600	3.840568356501136e-06
620	lieutenant	2116626	8.181407848377187e-06
621	lifted	5789103	2.237665639525543e-05
622	light	55341134	0.0002139104348362411
623	linebacker	101221	3.9125017070591937e-07
624	lion	2363832	9.136934761760057e-06
625	liquor	2136842	8.259548880880234e-06
626	litigator	29155	1.1269300567007913e-07
627	loaded	4000436	1.546291054127212e-05
628	loathed	210483	8.135812695062687e-07
629	located	13627934	5.26761393768981e-05
630	logger	81917	3.166342975639126e-07
631	loner	146693	5.670133795493369e-07
632	lord	4505915	1.7416741713047318e-05
633	lost	31321535	0.00012106732709142794
634	loudmouth	16237	6.276097866798404e-08
635	loved	12463814	4.8176458987234146e-05
636	loyalist	139643	5.39762970014984e-07
637	luggage	936135	3.618448528998783e-06
638	lunatic	386796	1.495085022163057e-06
639	lyricist	81707	3.158225832373574e-07
640	made	172739694	0.0006676918304026662
641	maestro	135486	5.236948916555082e-07
642	magician	612119	2.366027437412559e-06
643	maid	2255023	8.716354646721277e-06
644	maiden	1323371	5.115234285941289e-06
645	mailman	87154	3.368769067456723e-07
646	main	28667045	0.0001108069101262018
647	man	146545871	0.0005664446808962334
648	manager	9730026	3.760953096168813e-05
649	maneuvered	257115	9.938282336773245e-07
650	maniac	195067	7.539937073244838e-07
651	manicurist	19587	7.570975482969781e-08
652	manservant	72365	2.7971289162460216e-07
653	manufacturer	3498535	1.3522909435498895e-05
654	manuscript	4643188	1.794734390709118e-05
655	mapmaker	19693	7.611947729929235e-08
656	marauder	21155	8.177055513464324e-08
657	marcher	21987	8.498648999032857e-08
658	marine	2947520	1.1393067675275995e-05
659	mariner	191413	7.398698780424234e-07
660	marketer	172826	6.680254295296551e-07
661	marmalade	110705	4.279087358156786e-07
662	married	22490900	8.693421784342935e-05
663	mason	230520	8.910304121785848e-07
664	masseuse	28087	1.0856485852359844e-07
665	master	14286248	5.522072463962121e-05
666	mathematician	634584	2.4528615438223803e-06
667	mauled	80153	3.0981589722084896e-07
668	meat-eater	0	0.0
669	meatpacker	2685	1.0378347460955666e-08
670	mechanic	741595	2.8664918381033213e-06
671	medalist	30325	1.1721541406088662e-07
672	mediator	832917	3.2194793415779557e-06
673	medic	140194	5.418927537956121e-07
