sentence id,ref sentence,PLL score,negative PLL score,nr. of tokens,nr. of words,avg. nr. of tokens,quantile rank
1089-134686-0019,The sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state.,-131.6554913520813,131.6554913520813,47,39,1.205128205128205,0
1089-134686-0020,If a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune.,-91.5972990989685,91.5972990989685,57,50,1.14,0
1089-134686-0021,If a layman in giving baptism pour the water before saying the words is the child baptized.,-58.676445960998535,58.676445960998535,21,17,1.2352941176470589,1
1089-134686-0022,How comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land.,-52.836256980896,52.836256980896,38,32,1.1875,0
1089-134686-0023,Why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone.,-91.66769647598268,91.66769647598268,50,36,1.3888888888888888,2
1089-134686-0024,If the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man.,-117.3550190925598,117.3550190925598,39,30,1.3,1
1089-134686-0025,A gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question.,-85.01779556274414,85.01779556274414,22,18,1.2222222222222223,1
1089-134686-0026,The rector did not ask for a catechism to hear the lesson from.,-23.707189083099365,23.707189083099365,18,13,1.3846153846153846,2
1089-134686-0027,He clasped his hands on the desk and said.,-16.06344699859619,16.06344699859619,12,9,1.3333333333333333,1
1089-134686-0028,The retreat will begin on wednesday afternoon in honour of saint francis xavier whose feast day is saturday.,-87.26055526733398,87.26055526733398,29,18,1.6111111111111112,3
1089-134686-0029,On friday confession will be heard all the afternoon after beads.,-63.69322109222412,63.69322109222412,16,11,1.4545454545454546,2
1089-134686-0030,Beware of making that mistake.,-8.321063041687012,8.321063041687012,9,5,1.8,3
1089-134686-0031,Stephen's heart began slowly to fold and fade with fear like a withering flower.,-38.157394886016846,38.157394886016846,20,14,1.4285714285714286,2
1089-134686-0032,He is called as you know the apostle of the indies.,-31.40087890625,31.40087890625,16,11,1.4545454545454546,2
1089-134686-0033,A great saint saint francis xavier.,-54.49875497817993,54.49875497817993,13,6,2.1666666666666665,3
1089-134686-0034,The rector paused and then shaking his clasped hands before him went on.,-37.727261543273926,37.727261543273926,16,13,1.2307692307692308,1
1089-134686-0035,He had the faith in him that moves mountains.,-38.72908163070679,38.72908163070679,12,9,1.3333333333333333,1
1089-134686-0036,A great saint saint francis xavier.,-54.49875497817993,54.49875497817993,13,6,2.1666666666666665,3
1089-134686-0037,In the silence their dark fire kindled the dusk into a tawny glow.,-37.18557977676392,37.18557977676392,19,13,1.4615384615384615,2
1089-134691-0000,He could wait no longer.,-2.3488693237304688,2.3488693237304688,8,5,1.6,3
1089-134691-0001,For a full hour he had paced up and down waiting but he could wait no longer.,-23.477371215820312,23.477371215820312,20,17,1.1764705882352942,0
1089-134691-0002,He set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe.,-92.0372543334961,92.0372543334961,43,35,1.2285714285714286,1
1089-134691-0003,The university.,-11.441360473632812,11.441360473632812,5,2,2.5,3
1089-134691-0004,Pride after satisfaction uplifted him like long slow waves.,-37.23195695877075,37.23195695877075,14,9,1.5555555555555556,3
1089-134691-0005,Whose feet are as the feet of harts and underneath the everlasting arms.,-54.38919162750244,54.38919162750244,20,13,1.5384615384615385,3
1089-134691-0006,The pride of that dim image brought back to his mind the dignity of the office he had refused.,-47.53917217254639,47.53917217254639,22,19,1.1578947368421053,0
1089-134691-0007,Soon the whole bridge was trembling and resounding.,-18.59598016738892,18.59598016738892,13,8,1.625,3
1089-134691-0008,The uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face.,-77.68847274780273,77.68847274780273,55,42,1.3095238095238095,1
1089-134691-0009,Angry with himself he tried to hide his face from their eyes by gazing down sideways into the shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickey.,-167.11109352111816,167.11109352111816,56,49,1.1428571428571428,0
1089-134691-0010,Brother mac ardle brother keogh.,-57.79661273956299,57.79661273956299,12,5,2.4,3
1089-134691-0011,Their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration.,-144.7911548614502,144.7911548614502,61,52,1.1730769230769231,0
1089-134691-0012,It was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggar's weeds that they would be generous towards him loving him as themselves.,-124.59003257751463,124.59003257751463,50,44,1.1363636363636365,0
1089-134691-0013,Idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbour as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love.,-77.24220514297485,77.24220514297485,59,45,1.3111111111111111,1
1089-134691-0014,The phrase and the day and the scene harmonized in a chord.,-47.86968183517456,47.86968183517456,16,12,1.3333333333333333,1
1089-134691-0015,Words was it their colours.,-48.14077091217041,48.14077091217041,8,5,1.6,3
1089-134691-0016,They were voyaging across the deserts of the sky a host of nomads on the march voyaging high over ireland westward bound.,-67.70626068115234,67.70626068115234,34,22,1.5454545454545454,3
1089-134691-0017,The europe they had come from lay out there beyond the irish sea europe of strange tongues and valleyed and woodbegirt and citadelled and of entrenched and marshalled races.,-144.36283588409424,144.36283588409424,46,29,1.5862068965517242,3
1089-134691-0018,Again again.,-10.664320945739746,10.664320945739746,5,2,2.5,3
1089-134691-0019,A voice from beyond the world was calling.,-13.88554573059082,13.88554573059082,11,8,1.375,2
1089-134691-0020,Hello stephanos here comes the dedalus.,-53.49590015411377,53.49590015411377,13,6,2.1666666666666665,3
1089-134691-0021,Their diving stone poised on its rude supports and rocking under their plunges and the rough hewn stones of the sloping breakwater over which they scrambled in their horseplay gleamed with cold wet lustre.,-121.6450777053833,121.6450777053833,46,34,1.3529411764705883,2
1089-134691-0022,He stood still in deference to their calls and parried their banter with easy words.,-24.466405391693115,24.466405391693115,22,15,1.4666666666666666,2
1089-134691-0023,It was a pain to see them and a sword like pain to see the signs of adolescence that made repellent their pitiable nakedness.,-50.49210453033447,50.49210453033447,33,24,1.375,2
1089-134691-0024,Stephanos dedalos.,-36.05456352233887,36.05456352233887,8,2,4.0,3
1089-134691-0025,A moment before the ghost of the ancient kingdom of the danes had looked forth through the vesture of the hazewrapped city.,-96.55785942077635,96.55785942077635,29,22,1.3181818181818181,1
1188-133604-0000,You will find me continually speaking of four men titian holbein turner and tintoret in almost the same terms.,-76.61330556869507,76.61330556869507,30,19,1.5789473684210527,3
1188-133604-0001,They unite every quality and sometimes you will find me referring to them as colorists sometimes as chiaroscurists.,-61.75608491897583,61.75608491897583,27,18,1.5,2
1188-133604-0002,By being studious of color they are studious of division and while the chiaroscurist devotes himself to the representation of degrees of force in one thing unseparated light the colorists have for their function the attainment of beauty by arrangement of the divisions of light.,-128.8935604095459,128.8935604095459,60,45,1.3333333333333333,1
1188-133604-0003,My first and principal reason was that they enforced beyond all resistance on any student who might attempt to copy them this method of laying portions of distinct hue side by side.,-109.5177149772644,109.5177149772644,36,32,1.125,0
1188-133604-0004,Some of the touches indeed when the tint has been mixed with much water have been laid in little drops or ponds so that the pigment might crystallize hard at the edge.,-89.8704023361206,89.8704023361206,39,32,1.21875,1
1188-133604-0005,It is the head of a parrot with a little flower in his beak from a picture of carpaccio's one of his series of the life of saint george.,-70.41788482666016,70.41788482666016,41,29,1.4137931034482758,2
1188-133604-0006,Then he comes to the beak of it.,-23.39900779724121,23.39900779724121,12,8,1.5,2
1188-133604-0007,The brown ground beneath is left for the most part one touch of black is put for the hollow two delicate lines of dark gray define the outer curve and one little quivering touch of white draws the inner edge of the mandible.,-118.3542938232422,118.3542938232422,50,43,1.1627906976744187,0
1188-133604-0008,For believe me the final philosophy of art can only ratify their opinion that the beauty of a cock robin is to be red and of a grass plot to be green and the best skill of art is in instantly seizing on the manifold deliciousness of light which you can only seize by precision of instantaneous touch.,-204.7389936447144,204.7389936447144,65,58,1.1206896551724137,0
1188-133604-0009,Now you will see in these studies that the moment the white is inclosed properly and harmonized with the other hues it becomes somehow more precious and pearly than the white paper and that i am not afraid to leave a whole field of untreated white paper all round it being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly.,-179.84671211242676,179.84671211242676,84,70,1.2,0
1188-133604-0010,But in this vignette copied from turner you have the two principles brought out perfectly.,-64.59048652648926,64.59048652648926,21,15,1.4,2
1188-133604-0011,They are beyond all other works that i know existing dependent for their effect on low subdued tones their favorite choice in time of day being either dawn or twilight and even their brightest sunsets produced chiefly out of gray paper.,-157.05303049087524,157.05303049087524,48,41,1.170731707317073,0
1188-133604-0012,It may be that a great colorist will use his utmost force of color as a singer his full power of voice but loud or low the virtue is in both cases always in refinement never in loudness.,-108.09770154953004,108.09770154953004,47,38,1.236842105263158,1
1188-133604-0013,It must remember be one or the other.,-26.86544704437256,26.86544704437256,11,8,1.375,2
1188-133604-0014,Do not therefore think that the gothic school is an easy one.,-38.25100135803223,38.25100135803223,15,12,1.25,1
1188-133604-0015,The law of that school is that everything shall be seen clearly or at least only in such mist or faintness as shall be delightful and i have no doubt that the best introduction to it would be the elementary practice of painting every study on a golden ground.,-119.67699813842772,119.67699813842772,54,49,1.1020408163265305,0
1188-133604-0016,This at once compels you to understand that the work is to be imaginative and decorative that it represents beautiful things in the clearest way but not under existing conditions and that in fact you are producing jeweler's work rather than pictures.,-83.30294752120972,83.30294752120972,54,42,1.2857142857142858,1
1188-133604-0017,That a style is restrained or severe does not mean that it is also erroneous.,-32.28379535675049,32.28379535675049,20,15,1.3333333333333333,1
1188-133604-0018,In all early gothic art indeed you will find failure of this kind especially distortion and rigidity which are in many respects painfully to be compared with the splendid repose of classic art.,-110.2603325843811,110.2603325843811,38,33,1.1515151515151516,0
1188-133604-0019,The large letter contains indeed entirely feeble and ill drawn figures that is merely childish and failing work of an inferior hand it is not characteristic of gothic or any other school.,-139.54467058181763,139.54467058181763,37,32,1.15625,0
1188-133604-0020,But observe you can only do this on one condition that of striving also to create in reality the beauty which you seek in imagination.,-63.53129434585571,63.53129434585571,30,25,1.2,0
1188-133604-0021,It will be wholly impossible for you to retain the tranquillity of temper and felicity of faith necessary for noble purist painting unless you are actively engaged in promoting the felicity and peace of practical life.,-75.64433193206787,75.64433193206787,48,36,1.3333333333333333,1
1188-133604-0022,You must look at him in the face fight him conquer him with what scathe you may you need not think to keep out of the way of him.,-103.99016904830933,103.99016904830933,34,29,1.1724137931034482,0
1188-133604-0023,The colorist says first of all as my delicious paroquet was ruby so this nasty viper shall be black and then is the question can i round him off even though he is black and make him slimy and yet springy and close down clotted like a pool of black blood on the earth all the same.,-216.98477029800412,216.98477029800412,69,57,1.2105263157894737,0
1188-133604-0024,Nothing will be more precious to you i think in the practical study of art than the conviction which will force itself on you more and more every hour of the way all things are bound together little and great in spirit and in matter.,-105.65691709518433,105.65691709518433,48,45,1.0666666666666667,0
1188-133604-0025,You know i have just been telling you how this school of materialism and clay involved itself at last in cloud and fire.,-77.50827980041504,77.50827980041504,27,23,1.173913043478261,0
1188-133604-0026,Here is an equally typical greek school landscape by wilson lost wholly in golden mist the trees so slightly drawn that you don't know if they are trees or towers and no care for color whatever perfectly deceptive and marvelous effect of sunshine through the mist apollo and the python.,-203.0897603034973,203.0897603034973,66,50,1.32,1
1188-133604-0027,Now here is raphael exactly between the two trees still drawn leaf by leaf wholly formal but beautiful mist coming gradually into the distance.,-157.9300937652588,157.9300937652588,29,24,1.2083333333333333,0
1188-133604-0028,Well then last here is turner's greek school of the highest class and you define his art absolutely as first the displaying intensely and with the sternest intellect of natural form as it is and then the envelopment of it with cloud and fire.,-155.34922981262207,155.34922981262207,58,44,1.3181818181818181,1
1188-133604-0029,Only there are two sorts of cloud and fire.,-29.05319023132324,29.05319023132324,12,9,1.3333333333333333,1
1188-133604-0030,He knows them both.,-11.074358940124512,11.074358940124512,7,4,1.75,3
1188-133604-0031,There's one and there's another the dudley and the flint.,-32.29038619995117,32.29038619995117,19,10,1.9,3
1188-133604-0032,It is only a pencil outline by edward burne jones in illustration of the story of psyche it is the introduction of psyche after all her troubles into heaven.,-117.61982345581056,117.61982345581056,39,29,1.3448275862068966,2
1188-133604-0033,Every plant in the grass is set formally grows perfectly and may be realized completely.,-79.50482606887817,79.50482606887817,18,15,1.2,0
1188-133604-0034,Exquisite order and universal with eternal life and light this is the faith and effort of the schools of crystal and you may describe and complete their work quite literally by taking any verses of chaucer in his tender mood and observing how he insists on the clearness and brightness first and then on the order.,-222.2086243629456,222.2086243629456,63,56,1.125,0
1188-133604-0035,Thus in chaucer's dream.,-46.33821201324463,46.33821201324463,11,4,2.75,3
1188-133604-0036,In both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful.,-77.78382539749146,77.78382539749146,21,16,1.3125,1
1188-133604-0037,Every line in which the master traces it even where seemingly negligent is lovely and set down with a meditative calmness which makes these two etchings capable of being placed beside the most tranquil work of holbein or duerer.,-134.57892036437988,134.57892036437988,56,39,1.435897435897436,2
1188-133604-0038,But now here is a subject of which you will wonder at first why turner drew it at all.,-51.746174812316895,51.746174812316895,23,19,1.2105263157894737,0
1188-133604-0039,It has no beauty whatsoever no specialty of picturesqueness and all its lines are cramped and poor.,-71.25827026367188,71.25827026367188,21,17,1.2352941176470589,1
1188-133604-0040,The crampness and the poverty are all intended.,-35.171390533447266,35.171390533447266,14,8,1.75,3
1188-133604-0041,It is a gleaner bringing down her one sheaf of corn to an old watermill itself mossy and rent scarcely able to get its stones to turn.,-105.89578866958618,105.89578866958618,35,27,1.2962962962962963,1
1188-133604-0042,The scene is absolutely arcadian.,-23.03124618530273,23.03124618530273,10,5,2.0,3
1188-133604-0043,See that your lives be in nothing worse than a boy's climbing for his entangled kite.,-63.219069480896,63.219069480896,24,16,1.5,2
1188-133604-0044,It will be well for you if you join not with those who instead of kites fly falcons who instead of obeying the last words of the great cloud shepherd to feed his sheep live the lives how much less than vanity of the war wolf and the gier eagle.,-183.61016511917117,183.61016511917117,62,50,1.24,1
121-121726-0000,Also a popular contrivance whereby love making may be suspended but not stopped during the picnic season.,-47.78360891342163,47.78360891342163,22,17,1.2941176470588236,1
121-121726-0001,Harangue the tiresome product of a tireless tongue.,-51.108750343322754,51.108750343322754,15,8,1.875,3
121-121726-0002,Angor pain painful to hear.,-42.50354862213135,42.50354862213135,9,5,1.8,3
121-121726-0003,Hay fever a heart trouble caused by falling in love with a grass widow.,-60.22505474090576,60.22505474090576,17,14,1.2142857142857142,0
121-121726-0004,Heaven a good place to be raised to.,-27.476747035980225,27.476747035980225,11,8,1.375,2
121-121726-0005,Hedge a fence.,-26.308892250061035,26.308892250061035,7,3,2.3333333333333335,3
121-121726-0006,Heredity the cause of all our faults.,-15.473093032836914,15.473093032836914,12,7,1.7142857142857142,3
121-121726-0007,Horse sense a degree of wisdom that keeps one from betting on the races.,-64.66716814041138,64.66716814041138,17,14,1.2142857142857142,0
121-121726-0008,Hose man's excuse for wetting the walk.,-37.46812582015991,37.46812582015991,14,7,2.0,3
121-121726-0009,Hotel a place where a guest often gives up good dollars for poor quarters.,-60.9338321685791,60.9338321685791,17,14,1.2142857142857142,0
121-121726-0010,Housecleaning a domestic upheaval that makes it easy for the government to enlist all the soldiers it needs.,-25.61900043487549,25.61900043487549,27,18,1.5,2
121-121726-0011,Husband the next thing to a wife.,-19.78766870498657,19.78766870498657,11,7,1.5714285714285714,3
121-121726-0012,Hussy woman and bond tie.,-51.72287654876709,51.72287654876709,9,5,1.8,3
121-121726-0013,Tied to a woman.,-7.307951927185059,7.307951927185059,8,4,2.0,3
121-121726-0014,Hypocrite a horse dealer.,-22.458465576171875,22.458465576171875,11,4,2.75,3
121-123852-0000,Those pretty wrongs that liberty commits when i am sometime absent from thy heart thy beauty and thy years full well befits for still temptation follows where thou art.,-146.21476221084595,146.21476221084595,36,29,1.2413793103448276,1
121-123852-0001,Ay me.,-21.935651302337646,21.935651302337646,6,2,3.0,3
121-123852-0002,No matter then although my foot did stand upon the farthest earth remov'd from thee for nimble thought can jump both sea and land as soon as think the place where he would be but ah.,-148.8157410621643,148.8157410621643,45,36,1.25,1
121-123852-0003,Thought kills me that i am not thought to leap large lengths of miles when thou art gone but that so much of earth and water wrought i must attend time's leisure with my moan receiving nought by elements so slow but heavy tears badges of either's woe.,-244.2710781097412,244.2710781097412,58,48,1.2083333333333333,0
121-123852-0004,My heart doth plead that thou in him dost lie a closet never pierc'd with crystal eyes but the defendant doth that plea deny and says in him thy fair appearance lies.,-161.53304624557495,161.53304624557495,42,32,1.3125,1
121-123859-0000,You are my all the world and i must strive to know my shames and praises from your tongue none else to me nor i to none alive that my steel'd sense or changes right or wrong.,-147.76525926589966,147.76525926589966,46,37,1.2432432432432432,1
121-123859-0001,O tis the first tis flattery in my seeing and my great mind most kingly drinks it up mine eye well knows what with his gust is greeing and to his palate doth prepare the cup if it be poison'd tis the lesser sin that mine eye loves it and doth first begin.,-239.4222445487976,239.4222445487976,70,53,1.320754716981132,1
121-123859-0002,But reckoning time whose million'd accidents creep in twixt vows and change decrees of kings tan sacred beauty blunt the sharp'st intents divert strong minds to the course of altering things alas why fearing of time's tyranny might i not then say now i love you best when i was certain o'er incertainty crowning the present doubting of the rest.,-362.92576122283936,362.92576122283936,88,60,1.4666666666666666,2
121-123859-0003,Love is a babe then might i not say so to give full growth to that which still doth grow.,-79.92143869400024,79.92143869400024,24,20,1.2,0
121-123859-0004,So i return rebuk'd to my content and gain by ill thrice more than i have spent.,-74.09013509750366,74.09013509750366,25,17,1.4705882352941178,2
121-127105-0000,It was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention.,-80.71430730819702,80.71430730819702,32,27,1.1851851851851851,0
121-127105-0001,Someone else told a story not particularly effective which i saw he was not following.,-46.58154058456421,46.58154058456421,18,15,1.2,0
121-127105-0002,Cried one of the women he took no notice of her he looked at me but as if instead of me he saw what he spoke of.,-41.51888036727905,41.51888036727905,31,27,1.1481481481481481,0
121-127105-0003,There was a unanimous groan at this and much reproach after which in his preoccupied way he explained.,-54.36767244338989,54.36767244338989,23,18,1.2777777777777777,1
121-127105-0004,The story's written.,-9.521376132965088,9.521376132965088,8,3,2.6666666666666665,3
121-127105-0005,I could write to my man and enclose the key he could send down the packet as he finds it.,-64.12442255020142,64.12442255020142,25,20,1.25,1
121-127105-0006,The others resented postponement but it was just his scruples that charmed me.,-23.83933115005493,23.83933115005493,25,13,1.9230769230769231,3
121-127105-0007,To this his answer was prompt oh thank god no and is the record yours.,-69.57656478881836,69.57656478881836,19,15,1.2666666666666666,1
121-127105-0008,He hung fire again a woman's.,-46.41106081008911,46.41106081008911,11,6,1.8333333333333333,3
121-127105-0009,She has been dead these twenty years.,-20.245162963867188,20.245162963867188,10,7,1.4285714285714286,2
121-127105-0010,She sent me the pages in question before she died.,-21.44893217086792,21.44893217086792,13,10,1.3,1
121-127105-0011,She was the most agreeable woman i've ever known in her position she would have been worthy of any whatever.,-61.140089988708496,61.140089988708496,26,20,1.3,1
121-127105-0012,It wasn't simply that she said so but that i knew she hadn't i was sure i could see.,-38.032647132873535,38.032647132873535,26,19,1.368421052631579,2
121-127105-0013,You'll easily judge why when you hear because the thing had been such a scare he continued to fix me.,-75.83051109313965,75.83051109313965,25,20,1.25,1
121-127105-0014,You are acute.,-21.142492294311523,21.142492294311523,6,3,2.0,3
121-127105-0015,He quitted the fire and dropped back into his chair.,-19.478075981140137,19.478075981140137,14,10,1.4,2
121-127105-0016,Probably not till the second post.,-23.398684978485107,23.398684978485107,9,6,1.5,2
121-127105-0017,It was almost the tone of hope everybody will stay.,-40.056257247924805,40.056257247924805,13,10,1.3,1
121-127105-0018,Cried the ladies whose departure had been fixed.,-32.66775989532471,32.66775989532471,12,8,1.5,2
121-127105-0019,Missus griffin however expressed the need for a little more light.,-45.77070093154907,45.77070093154907,17,11,1.5454545454545454,3
121-127105-0020,Who was it she was in love with the story will tell i took upon myself to reply oh i can't wait for the story the story won't tell said douglas not in any literal vulgar way more's the pity then.,-131.00368356704712,131.00368356704712,54,41,1.3170731707317074,1
121-127105-0021,Won't you tell douglas.,-19.296231269836422,19.296231269836422,11,4,2.75,3
121-127105-0022,Well if i don't know who she was in love with i know who he was.,-31.48021030426025,31.48021030426025,21,16,1.3125,1
121-127105-0023,Let me say here distinctly to have done with it that this narrative from an exact transcript of my own made much later is what i shall presently give.,-97.88934469223022,97.88934469223022,33,29,1.1379310344827587,0
121-127105-0024,Poor douglas before his death when it was in sight committed to me the manuscript that reached him on the third of these days and that on the same spot with immense effect he began to read to our hushed little circle on the night of the fourth.,-122.63039302825928,122.63039302825928,53,48,1.1041666666666667,0
121-127105-0025,The departing ladies who had said they would stay didn't of course thank heaven stay they departed in consequence of arrangements made in a rage of curiosity as they professed produced by the touches with which he had already worked us up.,-157.45197820663452,157.45197820663452,49,42,1.1666666666666667,0
121-127105-0026,The first of these touches conveyed that the written statement took up the tale at a point after it had in a manner begun.,-75.08869123458862,75.08869123458862,27,24,1.125,0
121-127105-0027,He had for his own town residence a big house filled with the spoils of travel and the trophies of the chase but it was to his country home an old family place in essex that he wished her immediately to proceed.,-133.35745477676392,133.35745477676392,48,42,1.1428571428571428,0
121-127105-0028,The awkward thing was that they had practically no other relations and that his own affairs took up all his time.,-38.14782667160034,38.14782667160034,24,21,1.1428571428571428,0
121-127105-0029,There were plenty of people to help but of course the young lady who should go down as governess would be in supreme authority.,-35.301156997680664,35.301156997680664,28,24,1.1666666666666667,0
121-127105-0030,I don't anticipate.,-1.6569242477416992,1.6569242477416992,10,3,3.3333333333333335,3
121-127105-0031,She was young untried nervous it was a vision of serious duties and little company of really great loneliness.,-101.14463710784912,101.14463710784912,24,19,1.263157894736842,1
121-127105-0032,Yes but that's just the beauty of her passion.,-30.8145112991333,30.8145112991333,14,9,1.5555555555555556,3
121-127105-0033,It was the beauty of it.,-5.714530944824219,5.714530944824219,9,6,1.5,2
121-127105-0034,It sounded dull it sounded strange and all the more so because of his main condition which was.,-56.58024024963379,56.58024024963379,21,18,1.1666666666666667,0
121-127105-0035,She promised to do this and she mentioned to me that when for a moment disburdened delighted he held her hand thanking her for the sacrifice she already felt rewarded.,-79.19466304779053,79.19466304779053,37,30,1.2333333333333334,1
121-127105-0036,But was that all her reward one of the ladies asked.,-41.16543626785278,41.16543626785278,14,11,1.2727272727272727,1
1221-135766-0000,How strange it seemed to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine over the tiny features of this child.,-84.27396440505981,84.27396440505981,42,37,1.135135135135135,0
1221-135766-0001,God as a direct consequence of the sin which man thus punished had given her a lovely child whose place was on that same dishonoured bosom to connect her parent for ever with the race and descent of mortals and to be finally a blessed soul in heaven.,-120.62537097930908,120.62537097930908,56,48,1.1666666666666667,0
1221-135766-0002,Yet these thoughts affected hester prynne less with hope than apprehension.,-44.06956958770752,44.06956958770752,18,11,1.6363636363636365,3
1221-135766-0003,The child had a native grace which does not invariably co exist with faultless beauty its attire however simple always impressed the beholder as if it were the very garb that precisely became it best.,-133.64148378372192,133.64148378372192,44,35,1.2571428571428571,1
1221-135766-0004,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,-64.25314855575562,64.25314855575562,23,18,1.2777777777777777,1
1221-135766-0005,Hester could only account for the child's character and even then most vaguely and imperfectly by recalling what she herself had been during that momentous period while pearl was imbibing her soul from the spiritual world and her bodily frame from its material of earth.,-146.29314613342285,146.29314613342285,57,45,1.2666666666666666,1
1221-135766-0006,They were now illuminated by the morning radiance of a young child's disposition but later in the day of earthly existence might be prolific of the storm and whirlwind.,-92.81511402130128,92.81511402130128,40,29,1.3793103448275863,2
1221-135766-0007,Hester prynne nevertheless the loving mother of this one child ran little risk of erring on the side of undue severity.,-86.26961612701416,86.26961612701416,29,21,1.380952380952381,2
1221-135766-0008,Mindful however of her own errors and misfortunes she early sought to impose a tender but strict control over the infant immortality that was committed to her charge.,-86.46221256256104,86.46221256256104,36,28,1.2857142857142858,1
1221-135766-0009,As to any other kind of discipline whether addressed to her mind or heart little pearl might or might not be within its reach in accordance with the caprice that ruled the moment.,-93.59245777130128,93.59245777130128,37,33,1.121212121212121,0
1221-135766-0010,It was a look so intelligent yet inexplicable perverse sometimes so malicious but generally accompanied by a wild flow of spirits that hester could not help questioning at such moments whether pearl was a human child.,-142.46969842910767,142.46969842910767,47,36,1.3055555555555556,1
