sentence id,ref sentence,PLL score,nr. of tokens
1089-134686-0022,How comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land.,-255.2306399345398,38
1089-134686-0023,Why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone.,-338.3470401763916,50
1089-134686-0024,If the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man.,-314.7696866989136,39
1089-134686-0025,A gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question.,-189.7583622932434,22
1089-134686-0026,The rector did not ask for a catechism to hear the lesson from.,-149.2716464996338,18
1089-134686-0027,He clasped his hands on the desk and said.,-86.88072204589844,12
1089-134686-0028,The retreat will begin on wednesday afternoon in honour of saint francis xavier whose feast day is saturday.,-243.3252625465393,29
1089-134686-0029,On friday confession will be heard all the afternoon after beads.,-117.9754319190979,16
1089-134686-0030,Beware of making that mistake.,-103.94267511367798,9
1089-134686-0031,Stephen's heart began slowly to fold and fade with fear like a withering flower.,-146.6114158630371,20
1089-134686-0032,He is called as you know the apostle of the indies.,-103.75839805603027,16
1089-134686-0033,A great saint saint francis xavier.,-125.80422592163086,13
1089-134686-0034,The rector paused and then shaking his clasped hands before him went on.,-123.55079746246338,16
1089-134686-0035,He had the faith in him that moves mountains.,-101.17802906036377,12
1089-134686-0036,A great saint saint francis xavier.,-125.80422592163086,13
1089-134686-0037,In the silence their dark fire kindled the dusk into a tawny glow.,-165.53094291687012,19
1089-134691-0000,He could wait no longer.,-70.95255851745605,8
1089-134691-0001,For a full hour he had paced up and down waiting but he could wait no longer.,-164.68587255477905,20
1089-134691-0002,He set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe.,-294.750280380249,43
1089-134691-0003,The university.,-51.13485813140869,5
1089-134691-0004,Pride after satisfaction uplifted him like long slow waves.,-127.69309377670288,14
1089-134691-0005,Whose feet are as the feet of harts and underneath the everlasting arms.,-130.75823497772217,20
1089-134691-0006,The pride of that dim image brought back to his mind the dignity of the office he had refused.,-141.75050449371338,22
1089-134691-0007,Soon the whole bridge was trembling and resounding.,-98.46390199661255,13
1089-134691-0008,The uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face.,-348.3942732810974,55
1089-134691-0009,Angry with himself he tried to hide his face from their eyes by gazing down sideways into the shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickey.,-484.87306118011475,56
1089-134691-0010,Brother mac ardle brother keogh.,-119.51051044464111,12
1089-134691-0011,Their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration.,-415.7220129966736,61
1089-134691-0012,It was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggar's weeds that they would be generous towards him loving him as themselves.,-321.44315910339355,50
1089-134691-0013,Idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbour as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love.,-398.8143091201782,59
1089-134691-0014,The phrase and the day and the scene harmonized in a chord.,-111.76998043060303,16
1089-134691-0015,Words was it their colours.,-84.13860702514648,8
1089-134691-0016,They were voyaging across the deserts of the sky a host of nomads on the march voyaging high over ireland westward bound.,-228.8940920829773,34
1089-134691-0017,The europe they had come from lay out there beyond the irish sea europe of strange tongues and valleyed and woodbegirt and citadelled and of entrenched and marshalled races.,-386.06225633621216,46
1089-134691-0018,Again again.,-42.58103942871094,5
1089-134691-0019,A voice from beyond the world was calling.,-92.48791074752808,11
1089-134691-0020,Hello stephanos here comes the dedalus.,-118.00005292892456,13
1089-134691-0021,Their diving stone poised on its rude supports and rocking under their plunges and the rough hewn stones of the sloping breakwater over which they scrambled in their horseplay gleamed with cold wet lustre.,-336.03325605392456,46
1089-134691-0022,He stood still in deference to their calls and parried their banter with easy words.,-164.4526834487915,22
1089-134691-0023,It was a pain to see them and a sword like pain to see the signs of adolescence that made repellent their pitiable nakedness.,-227.51233577728271,33
1089-134691-0024,Stephanos dedalos.,-82.95684432983398,8
1089-134691-0025,A moment before the ghost of the ancient kingdom of the danes had looked forth through the vesture of the hazewrapped city.,-229.988139629364,29
1188-133604-0000,You will find me continually speaking of four men titian holbein turner and tintoret in almost the same terms.,-250.21174001693726,30
1188-133604-0001,They unite every quality and sometimes you will find me referring to them as colorists sometimes as chiaroscurists.,-212.45926427841187,27
1188-133604-0002,By being studious of color they are studious of division and while the chiaroscurist devotes himself to the representation of degrees of force in one thing unseparated light the colorists have for their function the attainment of beauty by arrangement of the divisions of light.,-435.5524024963379,60
1188-133604-0003,My first and principal reason was that they enforced beyond all resistance on any student who might attempt to copy them this method of laying portions of distinct hue side by side.,-314.98533487319946,36
1188-133604-0004,Some of the touches indeed when the tint has been mixed with much water have been laid in little drops or ponds so that the pigment might crystallize hard at the edge.,-300.06367349624634,39
1188-133604-0005,It is the head of a parrot with a little flower in his beak from a picture of carpaccio's one of his series of the life of saint george.,-276.66250228881836,41
1188-133604-0006,Then he comes to the beak of it.,-94.67191171646118,12
1188-133604-0007,The brown ground beneath is left for the most part one touch of black is put for the hollow two delicate lines of dark gray define the outer curve and one little quivering touch of white draws the inner edge of the mandible.,-363.21801233291626,50
1188-133604-0008,For believe me the final philosophy of art can only ratify their opinion that the beauty of a cock robin is to be red and of a grass plot to be green and the best skill of art is in instantly seizing on the manifold deliciousness of light which you can only seize by precision of instantaneous touch.,-511.43202352523804,65
1188-133604-0009,Now you will see in these studies that the moment the white is inclosed properly and harmonized with the other hues it becomes somehow more precious and pearly than the white paper and that i am not afraid to leave a whole field of untreated white paper all round it being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly.,-647.8048424720764,84
1188-133604-0010,But in this vignette copied from turner you have the two principles brought out perfectly.,-162.1731185913086,21
1188-133604-0011,They are beyond all other works that i know existing dependent for their effect on low subdued tones their favorite choice in time of day being either dawn or twilight and even their brightest sunsets produced chiefly out of gray paper.,-405.51689767837524,48
1188-133604-0012,It may be that a great colorist will use his utmost force of color as a singer his full power of voice but loud or low the virtue is in both cases always in refinement never in loudness.,-312.5781192779541,47
1188-133604-0013,It must remember be one or the other.,-80.8531904220581,11
1188-133604-0014,Do not therefore think that the gothic school is an easy one.,-110.1848258972168,15
1188-133604-0015,The law of that school is that everything shall be seen clearly or at least only in such mist or faintness as shall be delightful and i have no doubt that the best introduction to it would be the elementary practice of painting every study on a golden ground.,-376.5418190956116,54
1188-133604-0016,This at once compels you to understand that the work is to be imaginative and decorative that it represents beautiful things in the clearest way but not under existing conditions and that in fact you are producing jeweler's work rather than pictures.,-356.3175539970398,54
1188-133604-0017,That a style is restrained or severe does not mean that it is also erroneous.,-148.35104703903198,20
1188-133604-0018,In all early gothic art indeed you will find failure of this kind especially distortion and rigidity which are in many respects painfully to be compared with the splendid repose of classic art.,-332.08440113067627,38
1188-133604-0019,The large letter contains indeed entirely feeble and ill drawn figures that is merely childish and failing work of an inferior hand it is not characteristic of gothic or any other school.,-328.5949740409851,37
1188-133604-0020,But observe you can only do this on one condition that of striving also to create in reality the beauty which you seek in imagination.,-246.64791584014893,30
1188-133604-0021,It will be wholly impossible for you to retain the tranquillity of temper and felicity of faith necessary for noble purist painting unless you are actively engaged in promoting the felicity and peace of practical life.,-375.68399953842163,48
1188-133604-0022,You must look at him in the face fight him conquer him with what scathe you may you need not think to keep out of the way of him.,-228.41534519195557,34
1188-133604-0023,The colorist says first of all as my delicious paroquet was ruby so this nasty viper shall be black and then is the question can i round him off even though he is black and make him slimy and yet springy and close down clotted like a pool of black blood on the earth all the same.,-506.6889533996582,69
1188-133604-0024,Nothing will be more precious to you i think in the practical study of art than the conviction which will force itself on you more and more every hour of the way all things are bound together little and great in spirit and in matter.,-349.16123962402344,48
1188-133604-0025,You know i have just been telling you how this school of materialism and clay involved itself at last in cloud and fire.,-222.74262809753418,27
1188-133604-0026,Here is an equally typical greek school landscape by wilson lost wholly in golden mist the trees so slightly drawn that you don't know if they are trees or towers and no care for color whatever perfectly deceptive and marvelous effect of sunshine through the mist apollo and the python.,-538.9449830055237,66
1188-133604-0027,Now here is raphael exactly between the two trees still drawn leaf by leaf wholly formal but beautiful mist coming gradually into the distance.,-249.50892162322998,29
1188-133604-0028,Well then last here is turner's greek school of the highest class and you define his art absolutely as first the displaying intensely and with the sternest intellect of natural form as it is and then the envelopment of it with cloud and fire.,-393.1046447753906,58
1188-133604-0029,Only there are two sorts of cloud and fire.,-87.12963056564331,12
1188-133604-0030,He knows them both.,-85.19551849365234,7
1188-133604-0031,There's one and there's another the dudley and the flint.,-107.97303438186646,19
1188-133604-0032,It is only a pencil outline by edward burne jones in illustration of the story of psyche it is the introduction of psyche after all her troubles into heaven.,-288.50646352767944,39
1188-133604-0033,Every plant in the grass is set formally grows perfectly and may be realized completely.,-160.056077003479,18
1188-133604-0034,Exquisite order and universal with eternal life and light this is the faith and effort of the schools of crystal and you may describe and complete their work quite literally by taking any verses of chaucer in his tender mood and observing how he insists on the clearness and brightness first and then on the order.,-453.0101857185364,63
1188-133604-0035,Thus in chaucer's dream.,-92.95328760147095,11
1188-133604-0036,In both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful.,-192.77462911605835,21
1188-133604-0037,Every line in which the master traces it even where seemingly negligent is lovely and set down with a meditative calmness which makes these two etchings capable of being placed beside the most tranquil work of holbein or duerer.,-422.2344284057617,56
1188-133604-0038,But now here is a subject of which you will wonder at first why turner drew it at all.,-182.34635162353516,23
1188-133604-0039,It has no beauty whatsoever no specialty of picturesqueness and all its lines are cramped and poor.,-176.3419771194458,21
1188-133604-0040,The crampness and the poverty are all intended.,-94.94020366668701,14
1188-133604-0041,It is a gleaner bringing down her one sheaf of corn to an old watermill itself mossy and rent scarcely able to get its stones to turn.,-249.60209941864014,35
1188-133604-0042,The scene is absolutely arcadian.,-88.32327890396118,10
1188-133604-0043,See that your lives be in nothing worse than a boy's climbing for his entangled kite.,-233.31763362884521,24
1188-133604-0044,It will be well for you if you join not with those who instead of kites fly falcons who instead of obeying the last words of the great cloud shepherd to feed his sheep live the lives how much less than vanity of the war wolf and the gier eagle.,-469.09294509887695,62
121-121726-0000,Also a popular contrivance whereby love making may be suspended but not stopped during the picnic season.,-189.3242793083191,22
121-121726-0001,Harangue the tiresome product of a tireless tongue.,-133.62722635269165,15
121-121726-0002,Angor pain painful to hear.,-95.61544370651245,9
121-121726-0003,Hay fever a heart trouble caused by falling in love with a grass widow.,-164.54218769073486,17
121-121726-0004,Heaven a good place to be raised to.,-97.70729207992554,11
121-121726-0005,Hedge a fence.,-84.16594505310059,7
121-121726-0006,Heredity the cause of all our faults.,-73.3399567604065,12
121-121726-0007,Horse sense a degree of wisdom that keeps one from betting on the races.,-176.74951362609863,17
121-121726-0008,Hose man's excuse for wetting the walk.,-92.602379322052,14
121-121726-0009,Hotel a place where a guest often gives up good dollars for poor quarters.,-166.5220923423767,17
121-121726-0010,Housecleaning a domestic upheaval that makes it easy for the government to enlist all the soldiers it needs.,-202.13195419311523,27
121-121726-0011,Husband the next thing to a wife.,-108.53827381134033,11
121-121726-0012,Hussy woman and bond tie.,-103.60103607177734,9
121-121726-0013,Tied to a woman.,-81.62849044799805,8
121-121726-0014,Hypocrite a horse dealer.,-83.88134670257568,11
121-123852-0000,Those pretty wrongs that liberty commits when i am sometime absent from thy heart thy beauty and thy years full well befits for still temptation follows where thou art.,-274.406334400177,36
121-123852-0001,Ay me.,-67.81974220275879,6
121-123852-0002,No matter then although my foot did stand upon the farthest earth remov'd from thee for nimble thought can jump both sea and land as soon as think the place where he would be but ah.,-345.03078746795654,45
121-123852-0003,Thought kills me that i am not thought to leap large lengths of miles when thou art gone but that so much of earth and water wrought i must attend time's leisure with my moan receiving nought by elements so slow but heavy tears badges of either's woe.,-469.77741289138794,58
121-123852-0004,My heart doth plead that thou in him dost lie a closet never pierc'd with crystal eyes but the defendant doth that plea deny and says in him thy fair appearance lies.,-353.7962565422058,42
121-123859-0000,You are my all the world and i must strive to know my shames and praises from your tongue none else to me nor i to none alive that my steel'd sense or changes right or wrong.,-334.83714962005615,46
121-123859-0001,O tis the first tis flattery in my seeing and my great mind most kingly drinks it up mine eye well knows what with his gust is greeing and to his palate doth prepare the cup if it be poison'd tis the lesser sin that mine eye loves it and doth first begin.,-512.0578894615173,70
121-123859-0002,But reckoning time whose million'd accidents creep in twixt vows and change decrees of kings tan sacred beauty blunt the sharp'st intents divert strong minds to the course of altering things alas why fearing of time's tyranny might i not then say now i love you best when i was certain o'er incertainty crowning the present doubting of the rest.,-685.5625133514404,88
121-123859-0003,Love is a babe then might i not say so to give full growth to that which still doth grow.,-178.87782764434814,24
121-123859-0004,So i return rebuk'd to my content and gain by ill thrice more than i have spent.,-181.6275315284729,25
121-127105-0000,It was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention.,-232.00668048858643,32
121-127105-0001,Someone else told a story not particularly effective which i saw he was not following.,-156.1942262649536,18
121-127105-0002,Cried one of the women he took no notice of her he looked at me but as if instead of me he saw what he spoke of.,-198.13211011886597,31
121-127105-0003,There was a unanimous groan at this and much reproach after which in his preoccupied way he explained.,-182.2225685119629,23
121-127105-0004,The story's written.,-65.92506694793701,8
121-127105-0005,I could write to my man and enclose the key he could send down the packet as he finds it.,-183.19455099105835,25
121-127105-0006,The others resented postponement but it was just his scruples that charmed me.,-173.82090711593628,25
121-127105-0007,To this his answer was prompt oh thank god no and is the record yours.,-158.91543626785278,19
121-127105-0008,He hung fire again a woman's.,-92.69027519226074,11
121-127105-0009,She has been dead these twenty years.,-77.55913782119751,10
121-127105-0010,She sent me the pages in question before she died.,-101.75266408920288,13
121-127105-0011,She was the most agreeable woman i've ever known in her position she would have been worthy of any whatever.,-175.77136945724487,26
121-127105-0012,It wasn't simply that she said so but that i knew she hadn't i was sure i could see.,-148.1631956100464,26
121-127105-0013,You'll easily judge why when you hear because the thing had been such a scare he continued to fix me.,-211.02733993530273,25
121-127105-0014,You are acute.,-73.3022632598877,6
121-127105-0015,He quitted the fire and dropped back into his chair.,-118.25382900238037,14
121-127105-0016,Probably not till the second post.,-98.11135149002075,9
121-127105-0017,It was almost the tone of hope everybody will stay.,-101.25810146331787,13
121-127105-0018,Cried the ladies whose departure had been fixed.,-106.9499831199646,12
121-127105-0019,Missus griffin however expressed the need for a little more light.,-130.26420402526855,17
121-127105-0020,Who was it she was in love with the story will tell i took upon myself to reply oh i can't wait for the story the story won't tell said douglas not in any literal vulgar way more's the pity then.,-421.3566517829895,54
121-127105-0021,Won't you tell douglas.,-98.57117080688477,11
121-127105-0022,Well if i don't know who she was in love with i know who he was.,-108.39726161956787,21
121-127105-0023,Let me say here distinctly to have done with it that this narrative from an exact transcript of my own made much later is what i shall presently give.,-254.69189023971558,33
121-127105-0024,Poor douglas before his death when it was in sight committed to me the manuscript that reached him on the third of these days and that on the same spot with immense effect he began to read to our hushed little circle on the night of the fourth.,-404.63980436325073,53
121-127105-0025,The departing ladies who had said they would stay didn't of course thank heaven stay they departed in consequence of arrangements made in a rage of curiosity as they professed produced by the touches with which he had already worked us up.,-374.8175983428955,49
121-127105-0026,The first of these touches conveyed that the written statement took up the tale at a point after it had in a manner begun.,-215.02861881256104,27
121-127105-0027,He had for his own town residence a big house filled with the spoils of travel and the trophies of the chase but it was to his country home an old family place in essex that he wished her immediately to proceed.,-320.4856491088867,48
121-127105-0028,The awkward thing was that they had practically no other relations and that his own affairs took up all his time.,-165.38113594055176,24
121-127105-0029,There were plenty of people to help but of course the young lady who should go down as governess would be in supreme authority.,-204.11813354492188,28
121-127105-0030,I don't anticipate.,-59.964030742645264,10
121-127105-0031,She was young untried nervous it was a vision of serious duties and little company of really great loneliness.,-184.95705652236938,24
121-127105-0032,Yes but that's just the beauty of her passion.,-103.31576108932495,14
121-127105-0033,It was the beauty of it.,-75.89842700958252,9
121-127105-0034,It sounded dull it sounded strange and all the more so because of his main condition which was.,-159.27729320526123,21
121-127105-0035,She promised to do this and she mentioned to me that when for a moment disburdened delighted he held her hand thanking her for the sacrifice she already felt rewarded.,-272.4386339187622,37
121-127105-0036,But was that all her reward one of the ladies asked.,-101.12110567092896,14
1221-135766-0000,How strange it seemed to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine over the tiny features of this child.,-291.6357960700989,42
1221-135766-0001,God as a direct consequence of the sin which man thus punished had given her a lovely child whose place was on that same dishonoured bosom to connect her parent for ever with the race and descent of mortals and to be finally a blessed soul in heaven.,-470.0443334579468,56
1221-135766-0002,Yet these thoughts affected hester prynne less with hope than apprehension.,-163.00126695632935,18
1221-135766-0003,The child had a native grace which does not invariably co exist with faultless beauty its attire however simple always impressed the beholder as if it were the very garb that precisely became it best.,-349.9026985168457,44
1221-135766-0004,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,-164.4304804801941,23
1221-135766-0005,Hester could only account for the child's character and even then most vaguely and imperfectly by recalling what she herself had been during that momentous period while pearl was imbibing her soul from the spiritual world and her bodily frame from its material of earth.,-389.2949619293213,57
1221-135766-0006,They were now illuminated by the morning radiance of a young child's disposition but later in the day of earthly existence might be prolific of the storm and whirlwind.,-279.2621717453003,40
1221-135766-0007,Hester prynne nevertheless the loving mother of this one child ran little risk of erring on the side of undue severity.,-221.91797304153442,29
1221-135766-0008,Mindful however of her own errors and misfortunes she early sought to impose a tender but strict control over the infant immortality that was committed to her charge.,-286.5110011100769,36
1221-135766-0009,As to any other kind of discipline whether addressed to her mind or heart little pearl might or might not be within its reach in accordance with the caprice that ruled the moment.,-285.3362913131714,37
1221-135766-0010,It was a look so intelligent yet inexplicable perverse sometimes so malicious but generally accompanied by a wild flow of spirits that hester could not help questioning at such moments whether pearl was a human child.,-342.50337743759155,47
1221-135766-0011,Beholding it hester was constrained to rush towards the child to pursue the little elf in the flight which she invariably began to snatch her to her bosom with a close pressure and earnest kisses not so much from overflowing love as to assure herself that pearl was flesh and blood and not utterly delusive.,-473.702054977417,71
1221-135766-0012,Brooding over all these matters the mother felt like one who has evoked a spirit but by some irregularity in the process of conjuration has failed to win the master word that should control this new and incomprehensible intelligence.,-404.27748823165894,53
1221-135766-0013,Pearl was a born outcast of the infantile world.,-110.6980299949646,14
1221-135766-0014,Pearl saw and gazed intently but never sought to make acquaintance.,-122.45948886871338,14
1221-135766-0015,If spoken to she would not speak again.,-91.3588342666626,11
1221-135767-0000,Hester prynne went one day to the mansion of governor bellingham with a pair of gloves which she had fringed and embroidered to his order and which were to be worn on some great occasion of state for though the chances of a popular election had caused this former ruler to descend a step or two from the highest rank he still held an honourable and influential place among the colonial magistracy.,-567.6392812728882,84
1221-135767-0001,Another and far more important reason than the delivery of a pair of embroidered gloves impelled hester at this time to seek an interview with a personage of so much power and activity in the affairs of the settlement.,-379.6945834159851,46
1221-135767-0002,At that epoch of pristine simplicity however matters of even slighter public interest and of far less intrinsic weight than the welfare of hester and her child were strangely mixed up with the deliberations of legislators and acts of state.,-375.0374140739441,51
1221-135767-0003,The period was hardly if at all earlier than that of our story when a dispute concerning the right of property in a pig not only caused a fierce and bitter contest in the legislative body of the colony but resulted in an important modification of the framework itself of the legislature.,-362.0352325439453,55
1221-135767-0004,We have spoken of pearl's rich and luxuriant beauty a beauty that shone with deep and vivid tints a bright complexion eyes possessing intensity both of depth and glow and hair already of a deep glossy brown and which in after years would be nearly akin to black.,-450.16877841949463,58
1221-135767-0005,It was the scarlet letter in another form the scarlet letter endowed with life.,-149.0794472694397,17
1221-135767-0006,The mother herself as if the red ignominy were so deeply scorched into her brain that all her conceptions assumed its form had carefully wrought out the similitude lavishing many hours of morbid ingenuity to create an analogy between the object of her affection and the emblem of her guilt and torture.,-485.55289602279663,69
1221-135767-0007,But in truth pearl was the one as well as the other and only in consequence of that identity had hester contrived so perfectly to represent the scarlet letter in her appearance.,-290.92232370376587,38
1221-135767-0008,Come therefore and let us fling mud at them.,-95.33941268920898,13
1221-135767-0009,But pearl who was a dauntless child after frowning stamping her foot and shaking her little hand with a variety of threatening gestures suddenly made a rush at the knot of her enemies and put them all to flight.,-339.8101282119751,45
1221-135767-0010,She screamed and shouted too with a terrific volume of sound which doubtless caused the hearts of the fugitives to quake within them.,-252.2490005493164,34
1221-135767-0011,It was further decorated with strange and seemingly cabalistic figures and diagrams suitable to the quaint taste of the age which had been drawn in the stucco when newly laid on and had now grown hard and durable for the admiration of after times.,-402.26017665863037,55
1221-135767-0012,They approached the door which was of an arched form and flanked on each side by a narrow tower or projection of the edifice in both of which were lattice windows the wooden shutters to close over them at need.,-305.52250480651855,45
1221-135767-0013,Lifting the iron hammer that hung at the portal hester prynne gave a summons which was answered by one of the governor's bond servant a free born englishman but now a seven years slave.,-355.79695892333984,47
1221-135767-0014,Yea his honourable worship is within but he hath a godly minister or two with him and likewise a leech.,-197.81296825408936,28
1221-135767-0015,Ye may not see his worship now.,-94.50692844390869,10
1221-135767-0016,With many variations suggested by the nature of his building materials diversity of climate and a different mode of social life governor bellingham had planned his new habitation after the residences of gentlemen of fair estate in his native land.,-387.81856060028076,45
1221-135767-0017,On the table in token that the sentiment of old english hospitality had not been left behind stood a large pewter tankard at the bottom of which had hester or pearl peeped into it they might have seen the frothy remnant of a recent draught of ale.,-463.0866017341614,61
1221-135767-0018,Little pearl who was as greatly pleased with the gleaming armour as she had been with the glittering frontispiece of the house spent some time looking into the polished mirror of the breastplate.,-290.1783595085144,39
1221-135767-0019,Mother cried she i see you here look look.,-106.6037745475769,12
1221-135767-0020,In truth she seemed absolutely hidden behind it.,-95.48960971832275,11
1221-135767-0021,Pearl accordingly ran to the bow window at the further end of the hall and looked along the vista of a garden walk carpeted with closely shaven grass and bordered with some rude and immature attempt at shrubbery.,-362.52977657318115,47
1221-135767-0022,But the proprietor appeared already to have relinquished as hopeless the effort to perpetuate on this side of the atlantic in a hard soil and amid the close struggle for subsistence the native english taste for ornamental gardening.,-374.7693271636963,50
1221-135767-0023,There were a few rose bushes however and a number of apple trees probably the descendants of those planted by the reverend mister blackstone the first settler of the peninsula that half mythological personage who rides through our early annals seated on the back of a bull.,-446.11712741851807,57
1221-135767-0024,Pearl seeing the rose bushes began to cry for a red rose and would not be pacified.,-180.04257345199585,22
1284-1180-0000,He wore blue silk stockings blue knee pants with gold buckles a blue ruffled waist and a jacket of bright blue braided with gold.,-267.0519289970398,33
1284-1180-0001,His hat had a peaked crown and a flat brim and around the brim was a row of tiny golden bells that tinkled when he moved.,-229.95021438598633,32
1284-1180-0002,Instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid.,-233.83427953720093,25
1284-1180-0003,For a long time he had wished to explore the beautiful land of oz in which they lived.,-209.72350025177002,21
1284-1180-0004,When they were outside unc simply latched the door and started up the path.,-164.6758222579956,19
1284-1180-0005,No one would disturb their little house even if anyone came so far into the thick forest while they were gone.,-187.37049102783203,24
1284-1180-0006,At the foot of the mountain that separated the country of the munchkins from the country of the gillikins the path divided.,-227.307062625885,30
1284-1180-0007,He knew it would take them to the house of the crooked magician whom he had never seen but who was their nearest neighbor.,-187.37905406951904,27
1284-1180-0008,All the morning they trudged up the mountain path and at noon unc and ojo sat on a fallen tree trunk and ate the last of the bread which the old munchkin had placed in his pocket.,-342.0732469558716,46
1284-1180-0009,Then they started on again and two hours later came in sight of the house of doctor pipt.,-176.43356943130493,23
1284-1180-0010,Unc knocked at the door of the house and a chubby pleasant faced woman dressed all in blue opened it and greeted the visitors with a smile.,-206.40472888946533,33
1284-1180-0011,I am my dear and all strangers are welcome to my home.,-105.3449444770813,15
1284-1180-0012,We have come from a far lonelier place than this a lonelier place.,-143.88583421707153,18
1284-1180-0013,And you must be ojo the unlucky she added.,-127.98062324523926,15
1284-1180-0014,Ojo had never eaten such a fine meal in all his life.,-129.20538234710693,16
1284-1180-0015,We are traveling replied ojo and we stopped at your house just to rest and refresh ourselves.,-163.48078680038452,23
1284-1180-0016,The woman seemed thoughtful.,-64.44320487976074,7
1284-1180-0017,At one end stood a great fireplace in which a blue log was blazing with a blue flame and over the fire hung four kettles in a row all bubbling and steaming at a great rate.,-360.5359287261963,43
1284-1180-0018,It takes me several years to make this magic powder but at this moment i am pleased to say it is nearly done you see i am making it for my good wife margolotte who wants to use some of it for a purpose of her own.,-426.60363578796387,53
1284-1180-0019,You must know said margolotte when they were all seated together on the broad window seat that my husband foolishly gave away all the powder of life he first made to old mombi the witch who used to live in the country of the gillikins to the north of here.,-495.2770080566406,61
1284-1180-0020,The first lot we tested on our glass cat which not only began to live but has lived ever since.,-194.67449617385864,23
1284-1180-0021,I think the next glass cat the magician makes will have neither brains nor heart for then it will not object to catching mice and may prove of some use to us.,-274.4195885658264,35
1284-1180-0022,I'm afraid i don't know much about the land of oz.,-126.06729555130005,18
1284-1180-0023,You see i've lived all my life with unc nunkie the silent one and there was no one to tell me anything.,-206.9901385307312,29
