sentence id,ref sentence,PLL score,nr. of tokens
1089-134686-0023,Why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone.,-134.45994567871094,41
1089-134686-0024,If the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man.,-169.8048095703125,33
1089-134686-0025,A gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question.,-102.49163818359375,19
1089-134686-0026,The rector did not ask for a catechism to hear the lesson from.,-62.20509338378906,16
1089-134686-0027,He clasped his hands on the desk and said.,-35.41037368774414,10
1089-134686-0028,The retreat will begin on wednesday afternoon in honour of saint francis xavier whose feast day is saturday.,-100.24678039550781,22
1089-134686-0029,On friday confession will be heard all the afternoon after beads.,-75.67535400390625,12
1089-134686-0030,Beware of making that mistake.,-26.756484985351562,6
1089-134686-0031,Stephen's heart began slowly to fold and fade with fear like a withering flower.,-73.67606353759766,16
1089-134686-0032,He is called as you know the apostle of the indies.,-56.16714096069336,12
1089-134686-0033,A great saint saint francis xavier.,-54.233497619628906,8
1089-134686-0034,The rector paused and then shaking his clasped hands before him went on.,-72.33868408203125,15
1089-134686-0035,He had the faith in him that moves mountains.,-36.16486740112305,9
1089-134686-0036,A great saint saint francis xavier.,-54.233497619628906,8
1089-134686-0037,In the silence their dark fire kindled the dusk into a tawny glow.,-74.34555053710938,16
1089-134691-0000,He could wait no longer.,-17.865083694458008,5
1089-134691-0001,For a full hour he had paced up and down waiting but he could wait no longer.,-63.48279571533203,17
1089-134691-0002,He set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe.,-174.91561889648438,38
1089-134691-0003,The university.,-16.03394317626953,2
1089-134691-0004,Pride after satisfaction uplifted him like long slow waves.,-73.71345520019531,11
1089-134691-0005,Whose feet are as the feet of harts and underneath the everlasting arms.,-79.79827880859375,15
1089-134691-0006,The pride of that dim image brought back to his mind the dignity of the office he had refused.,-86.713134765625,19
1089-134691-0007,Soon the whole bridge was trembling and resounding.,-41.3847541809082,9
1089-134691-0008,The uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face.,-207.7294921875,47
1089-134691-0009,Angry with himself he tried to hide his face from their eyes by gazing down sideways into the shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickey.,-272.15228271484375,53
1089-134691-0010,Brother mac ardle brother keogh.,-61.13212966918945,7
1089-134691-0011,Their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration.,-236.57839965820312,55
1089-134691-0012,It was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggar's weeds that they would be generous towards him loving him as themselves.,-205.30413818359375,46
1089-134691-0013,Idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbour as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love.,-185.8513946533203,53
1089-134691-0014,The phrase and the day and the scene harmonized in a chord.,-67.93756866455078,13
1089-134691-0015,Words was it their colours.,-35.686790466308594,5
1089-134691-0016,They were voyaging across the deserts of the sky a host of nomads on the march voyaging high over ireland westward bound.,-131.68161010742188,27
1089-134691-0017,The europe they had come from lay out there beyond the irish sea europe of strange tongues and valleyed and woodbegirt and citadelled and of entrenched and marshalled races.,-239.75376892089844,39
1089-134691-0018,Again again.,-10.012815475463867,2
1089-134691-0019,A voice from beyond the world was calling.,-31.354995727539062,8
1089-134691-0020,Hello stephanos here comes the dedalus.,-58.336509704589844,9
1089-134691-0021,Their diving stone poised on its rude supports and rocking under their plunges and the rough hewn stones of the sloping breakwater over which they scrambled in their horseplay gleamed with cold wet lustre.,-220.25152587890625,41
1089-134691-0022,He stood still in deference to their calls and parried their banter with easy words.,-76.50344848632812,17
1089-134691-0023,It was a pain to see them and a sword like pain to see the signs of adolescence that made repellent their pitiable nakedness.,-129.91392517089844,28
1089-134691-0024,Stephanos dedalos.,-53.00008010864258,5
1089-134691-0025,A moment before the ghost of the ancient kingdom of the danes had looked forth through the vesture of the hazewrapped city.,-137.49972534179688,27
1188-133604-0000,You will find me continually speaking of four men titian holbein turner and tintoret in almost the same terms.,-146.2740478515625,24
1188-133604-0001,They unite every quality and sometimes you will find me referring to them as colorists sometimes as chiaroscurists.,-114.0942611694336,23
1188-133604-0002,By being studious of color they are studious of division and while the chiaroscurist devotes himself to the representation of degrees of force in one thing unseparated light the colorists have for their function the attainment of beauty by arrangement of the divisions of light.,-234.2921905517578,55
1188-133604-0003,My first and principal reason was that they enforced beyond all resistance on any student who might attempt to copy them this method of laying portions of distinct hue side by side.,-163.55596923828125,32
1188-133604-0004,Some of the touches indeed when the tint has been mixed with much water have been laid in little drops or ponds so that the pigment might crystallize hard at the edge.,-159.15013122558594,33
1188-133604-0005,It is the head of a parrot with a little flower in his beak from a picture of carpaccio's one of his series of the life of saint george.,-149.92483520507812,35
1188-133604-0006,Then he comes to the beak of it.,-33.68829345703125,9
1188-133604-0007,The brown ground beneath is left for the most part one touch of black is put for the hollow two delicate lines of dark gray define the outer curve and one little quivering touch of white draws the inner edge of the mandible.,-221.23974609375,45
1188-133604-0008,For believe me the final philosophy of art can only ratify their opinion that the beauty of a cock robin is to be red and of a grass plot to be green and the best skill of art is in instantly seizing on the manifold deliciousness of light which you can only seize by precision of instantaneous touch.,-297.26220703125,61
1188-133604-0009,Now you will see in these studies that the moment the white is inclosed properly and harmonized with the other hues it becomes somehow more precious and pearly than the white paper and that i am not afraid to leave a whole field of untreated white paper all round it being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly.,-333.914306640625,76
1188-133604-0010,But in this vignette copied from turner you have the two principles brought out perfectly.,-95.17921447753906,18
1188-133604-0011,They are beyond all other works that i know existing dependent for their effect on low subdued tones their favorite choice in time of day being either dawn or twilight and even their brightest sunsets produced chiefly out of gray paper.,-240.7803192138672,42
1188-133604-0012,It may be that a great colorist will use his utmost force of color as a singer his full power of voice but loud or low the virtue is in both cases always in refinement never in loudness.,-206.31155395507812,40
1188-133604-0013,It must remember be one or the other.,-38.940757751464844,8
1188-133604-0014,Do not therefore think that the gothic school is an easy one.,-52.912845611572266,14
1188-133604-0015,The law of that school is that everything shall be seen clearly or at least only in such mist or faintness as shall be delightful and i have no doubt that the best introduction to it would be the elementary practice of painting every study on a golden ground.,-218.0712890625,50
1188-133604-0016,This at once compels you to understand that the work is to be imaginative and decorative that it represents beautiful things in the clearest way but not under existing conditions and that in fact you are producing jeweler's work rather than pictures.,-189.32369995117188,46
1188-133604-0017,That a style is restrained or severe does not mean that it is also erroneous.,-65.33649444580078,15
1188-133604-0018,In all early gothic art indeed you will find failure of this kind especially distortion and rigidity which are in many respects painfully to be compared with the splendid repose of classic art.,-172.53384399414062,37
1188-133604-0019,The large letter contains indeed entirely feeble and ill drawn figures that is merely childish and failing work of an inferior hand it is not characteristic of gothic or any other school.,-184.78842163085938,34
1188-133604-0020,But observe you can only do this on one condition that of striving also to create in reality the beauty which you seek in imagination.,-122.20983123779297,25
1188-133604-0021,It will be wholly impossible for you to retain the tranquillity of temper and felicity of faith necessary for noble purist painting unless you are actively engaged in promoting the felicity and peace of practical life.,-166.55401611328125,41
1188-133604-0022,You must look at him in the face fight him conquer him with what scathe you may you need not think to keep out of the way of him.,-136.53318786621094,30
1188-133604-0023,The colorist says first of all as my delicious paroquet was ruby so this nasty viper shall be black and then is the question can i round him off even though he is black and make him slimy and yet springy and close down clotted like a pool of black blood on the earth all the same.,-327.2075500488281,64
1188-133604-0024,Nothing will be more precious to you i think in the practical study of art than the conviction which will force itself on you more and more every hour of the way all things are bound together little and great in spirit and in matter.,-183.88119506835938,45
1188-133604-0025,You know i have just been telling you how this school of materialism and clay involved itself at last in cloud and fire.,-124.84608459472656,24
1188-133604-0026,Here is an equally typical greek school landscape by wilson lost wholly in golden mist the trees so slightly drawn that you don't know if they are trees or towers and no care for color whatever perfectly deceptive and marvelous effect of sunshine through the mist apollo and the python.,-313.59466552734375,54
1188-133604-0027,Now here is raphael exactly between the two trees still drawn leaf by leaf wholly formal but beautiful mist coming gradually into the distance.,-164.26193237304688,26
1188-133604-0028,Well then last here is turner's greek school of the highest class and you define his art absolutely as first the displaying intensely and with the sternest intellect of natural form as it is and then the envelopment of it with cloud and fire.,-266.8591003417969,49
1188-133604-0029,Only there are two sorts of cloud and fire.,-40.81767272949219,9
1188-133604-0030,He knows them both.,-18.678329467773438,4
1188-133604-0031,There's one and there's another the dudley and the flint.,-65.17124938964844,15
1188-133604-0032,It is only a pencil outline by edward burne jones in illustration of the story of psyche it is the introduction of psyche after all her troubles into heaven.,-168.26702880859375,32
1188-133604-0033,Every plant in the grass is set formally grows perfectly and may be realized completely.,-89.52609252929688,15
1188-133604-0034,Exquisite order and universal with eternal life and light this is the faith and effort of the schools of crystal and you may describe and complete their work quite literally by taking any verses of chaucer in his tender mood and observing how he insists on the clearness and brightness first and then on the order.,-300.1651916503906,60
1188-133604-0035,Thus in chaucer's dream.,-42.01979064941406,6
1188-133604-0036,In both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful.,-104.05696868896484,17
1188-133604-0037,Every line in which the master traces it even where seemingly negligent is lovely and set down with a meditative calmness which makes these two etchings capable of being placed beside the most tranquil work of holbein or duerer.,-250.97824096679688,46
1188-133604-0038,But now here is a subject of which you will wonder at first why turner drew it at all.,-87.51164245605469,20
1188-133604-0039,It has no beauty whatsoever no specialty of picturesqueness and all its lines are cramped and poor.,-96.28564453125,19
1188-133604-0040,The crampness and the poverty are all intended.,-60.404048919677734,10
1188-133604-0041,It is a gleaner bringing down her one sheaf of corn to an old watermill itself mossy and rent scarcely able to get its stones to turn.,-173.24081420898438,31
1188-133604-0042,The scene is absolutely arcadian.,-36.388999938964844,6
1188-133604-0043,See that your lives be in nothing worse than a boy's climbing for his entangled kite.,-100.64430236816406,18
1188-133604-0044,It will be well for you if you join not with those who instead of kites fly falcons who instead of obeying the last words of the great cloud shepherd to feed his sheep live the lives how much less than vanity of the war wolf and the gier eagle.,-265.7616882324219,54
121-121726-0000,Also a popular contrivance whereby love making may be suspended but not stopped during the picnic season.,-99.97773742675781,19
121-121726-0001,Harangue the tiresome product of a tireless tongue.,-65.28163146972656,12
121-121726-0002,Angor pain painful to hear.,-44.60661315917969,6
121-121726-0003,Hay fever a heart trouble caused by falling in love with a grass widow.,-79.2459487915039,14
121-121726-0004,Heaven a good place to be raised to.,-47.050167083740234,9
121-121726-0005,Hedge a fence.,-29.516727447509766,4
121-121726-0006,Heredity the cause of all our faults.,-39.99414825439453,9
121-121726-0007,Horse sense a degree of wisdom that keeps one from betting on the races.,-77.67676544189453,15
121-121726-0008,Hose man's excuse for wetting the walk.,-52.29330825805664,10
121-121726-0009,Hotel a place where a guest often gives up good dollars for poor quarters.,-79.05741882324219,15
121-121726-0010,Housecleaning a domestic upheaval that makes it easy for the government to enlist all the soldiers it needs.,-85.95315551757812,20
121-121726-0011,Husband the next thing to a wife.,-44.8506965637207,9
121-121726-0012,Hussy woman and bond tie.,-45.507991790771484,6
121-121726-0013,Tied to a woman.,-23.780162811279297,5
121-121726-0014,Hypocrite a horse dealer.,-41.98671340942383,6
121-123852-0000,Those pretty wrongs that liberty commits when i am sometime absent from thy heart thy beauty and thy years full well befits for still temptation follows where thou art.,-195.56776428222656,31
121-123852-0001,Ay me.,-15.657363891601562,2
121-123852-0002,No matter then although my foot did stand upon the farthest earth remov'd from thee for nimble thought can jump both sea and land as soon as think the place where he would be but ah.,-215.87338256835938,40
121-123852-0003,Thought kills me that i am not thought to leap large lengths of miles when thou art gone but that so much of earth and water wrought i must attend time's leisure with my moan receiving nought by elements so slow but heavy tears badges of either's woe.,-319.30157470703125,53
121-123852-0004,My heart doth plead that thou in him dost lie a closet never pierc'd with crystal eyes but the defendant doth that plea deny and says in him thy fair appearance lies.,-206.15530395507812,37
121-123859-0000,You are my all the world and i must strive to know my shames and praises from your tongue none else to me nor i to none alive that my steel'd sense or changes right or wrong.,-217.6630401611328,39
121-123859-0001,O tis the first tis flattery in my seeing and my great mind most kingly drinks it up mine eye well knows what with his gust is greeing and to his palate doth prepare the cup if it be poison'd tis the lesser sin that mine eye loves it and doth first begin.,-335.37347412109375,63
121-123859-0002,But reckoning time whose million'd accidents creep in twixt vows and change decrees of kings tan sacred beauty blunt the sharp'st intents divert strong minds to the course of altering things alas why fearing of time's tyranny might i not then say now i love you best when i was certain o'er incertainty crowning the present doubting of the rest.,-465.15008544921875,73
121-123859-0003,Love is a babe then might i not say so to give full growth to that which still doth grow.,-108.04168701171875,21
121-123859-0004,So i return rebuk'd to my content and gain by ill thrice more than i have spent.,-112.93859100341797,20
121-127105-0000,It was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention.,-139.066650390625,28
121-127105-0001,Someone else told a story not particularly effective which i saw he was not following.,-78.97557067871094,15
121-127105-0002,Cried one of the women he took no notice of her he looked at me but as if instead of me he saw what he spoke of.,-107.0417709350586,28
121-127105-0003,There was a unanimous groan at this and much reproach after which in his preoccupied way he explained.,-99.35598754882812,21
121-127105-0004,The story's written.,-21.103622436523438,4
121-127105-0005,I could write to my man and enclose the key he could send down the packet as he finds it.,-101.67749786376953,21
121-127105-0006,The others resented postponement but it was just his scruples that charmed me.,-81.52462768554688,18
121-127105-0007,To this his answer was prompt oh thank god no and is the record yours.,-91.42455291748047,15
121-127105-0008,He hung fire again a woman's.,-52.258724212646484,7
121-127105-0009,She has been dead these twenty years.,-30.733177185058594,7
121-127105-0010,She sent me the pages in question before she died.,-40.239097595214844,10
121-127105-0011,She was the most agreeable woman i've ever known in her position she would have been worthy of any whatever.,-92.45620727539062,21
121-127105-0012,It wasn't simply that she said so but that i knew she hadn't i was sure i could see.,-82.77867126464844,21
121-127105-0013,You'll easily judge why when you hear because the thing had been such a scare he continued to fix me.,-117.4364013671875,21
121-127105-0014,You are acute.,-18.239662170410156,3
121-127105-0015,He quitted the fire and dropped back into his chair.,-42.06641387939453,11
121-127105-0016,Probably not till the second post.,-27.126373291015625,6
121-127105-0017,It was almost the tone of hope everybody will stay.,-54.11448669433594,10
121-127105-0018,Cried the ladies whose departure had been fixed.,-54.37434005737305,9
121-127105-0019,Missus griffin however expressed the need for a little more light.,-68.34681701660156,13
121-127105-0020,Who was it she was in love with the story will tell i took upon myself to reply oh i can't wait for the story the story won't tell said douglas not in any literal vulgar way more's the pity then.,-216.91529846191406,45
121-127105-0021,Won't you tell douglas.,-39.32297134399414,7
121-127105-0022,Well if i don't know who she was in love with i know who he was.,-59.95814895629883,17
121-127105-0023,Let me say here distinctly to have done with it that this narrative from an exact transcript of my own made much later is what i shall presently give.,-148.85882568359375,29
121-127105-0024,Poor douglas before his death when it was in sight committed to me the manuscript that reached him on the third of these days and that on the same spot with immense effect he began to read to our hushed little circle on the night of the fourth.,-241.18441772460938,50
121-127105-0025,The departing ladies who had said they would stay didn't of course thank heaven stay they departed in consequence of arrangements made in a rage of curiosity as they professed produced by the touches with which he had already worked us up.,-236.98638916015625,44
121-127105-0026,The first of these touches conveyed that the written statement took up the tale at a point after it had in a manner begun.,-111.49382019042969,24
121-127105-0027,He had for his own town residence a big house filled with the spoils of travel and the trophies of the chase but it was to his country home an old family place in essex that he wished her immediately to proceed.,-193.62033081054688,44
121-127105-0028,The awkward thing was that they had practically no other relations and that his own affairs took up all his time.,-88.48031616210938,21
121-127105-0029,There were plenty of people to help but of course the young lady who should go down as governess would be in supreme authority.,-110.481201171875,25
121-127105-0030,I don't anticipate.,-19.474288940429688,4
121-127105-0031,She was young untried nervous it was a vision of serious duties and little company of really great loneliness.,-128.53750610351562,20
121-127105-0032,Yes but that's just the beauty of her passion.,-42.32957077026367,10
121-127105-0033,It was the beauty of it.,-18.462661743164062,6
121-127105-0034,It sounded dull it sounded strange and all the more so because of his main condition which was.,-88.5597915649414,18
121-127105-0035,She promised to do this and she mentioned to me that when for a moment disburdened delighted he held her hand thanking her for the sacrifice she already felt rewarded.,-160.0685577392578,33
121-127105-0036,But was that all her reward one of the ladies asked.,-54.989845275878906,11
1221-135766-0000,How strange it seemed to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine over the tiny features of this child.,-165.51010131835938,38
1221-135766-0001,God as a direct consequence of the sin which man thus punished had given her a lovely child whose place was on that same dishonoured bosom to connect her parent for ever with the race and descent of mortals and to be finally a blessed soul in heaven.,-246.0665283203125,50
1221-135766-0002,Yet these thoughts affected hester prynne less with hope than apprehension.,-91.21876525878906,14
1221-135766-0003,The child had a native grace which does not invariably co exist with faultless beauty its attire however simple always impressed the beholder as if it were the very garb that precisely became it best.,-207.7366180419922,38
1221-135766-0004,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,-102.490234375,19
1221-135766-0005,Hester could only account for the child's character and even then most vaguely and imperfectly by recalling what she herself had been during that momentous period while pearl was imbibing her soul from the spiritual world and her bodily frame from its material of earth.,-232.82196044921875,51
1221-135766-0006,They were now illuminated by the morning radiance of a young child's disposition but later in the day of earthly existence might be prolific of the storm and whirlwind.,-155.06671142578125,31
1221-135766-0007,Hester prynne nevertheless the loving mother of this one child ran little risk of erring on the side of undue severity.,-127.7469482421875,25
1221-135766-0008,Mindful however of her own errors and misfortunes she early sought to impose a tender but strict control over the infant immortality that was committed to her charge.,-140.01536560058594,32
1221-135766-0009,As to any other kind of discipline whether addressed to her mind or heart little pearl might or might not be within its reach in accordance with the caprice that ruled the moment.,-156.42376708984375,34
1221-135766-0010,It was a look so intelligent yet inexplicable perverse sometimes so malicious but generally accompanied by a wild flow of spirits that hester could not help questioning at such moments whether pearl was a human child.,-211.77845764160156,37
1221-135766-0011,Beholding it hester was constrained to rush towards the child to pursue the little elf in the flight which she invariably began to snatch her to her bosom with a close pressure and earnest kisses not so much from overflowing love as to assure herself that pearl was flesh and blood and not utterly delusive.,-288.2475280761719,59
1221-135766-0012,Brooding over all these matters the mother felt like one who has evoked a spirit but by some irregularity in the process of conjuration has failed to win the master word that should control this new and incomprehensible intelligence.,-198.8671875,43
1221-135766-0013,Pearl was a born outcast of the infantile world.,-47.04525375366211,12
1221-135766-0014,Pearl saw and gazed intently but never sought to make acquaintance.,-61.06413650512695,13
1221-135766-0015,If spoken to she would not speak again.,-36.810508728027344,8
1221-135767-0000,Hester prynne went one day to the mansion of governor bellingham with a pair of gloves which she had fringed and embroidered to his order and which were to be worn on some great occasion of state for though the chances of a popular election had caused this former ruler to descend a step or two from the highest rank he still held an honourable and influential place among the colonial magistracy.,-334.4957580566406,83
1221-135767-0001,Another and far more important reason than the delivery of a pair of embroidered gloves impelled hester at this time to seek an interview with a personage of so much power and activity in the affairs of the settlement.,-179.4617156982422,43
1221-135767-0002,At that epoch of pristine simplicity however matters of even slighter public interest and of far less intrinsic weight than the welfare of hester and her child were strangely mixed up with the deliberations of legislators and acts of state.,-213.58346557617188,42
1221-135767-0003,The period was hardly if at all earlier than that of our story when a dispute concerning the right of property in a pig not only caused a fierce and bitter contest in the legislative body of the colony but resulted in an important modification of the framework itself of the legislature.,-203.59906005859375,52
1221-135767-0004,We have spoken of pearl's rich and luxuriant beauty a beauty that shone with deep and vivid tints a bright complexion eyes possessing intensity both of depth and glow and hair already of a deep glossy brown and which in after years would be nearly akin to black.,-260.2948303222656,52
1221-135767-0005,It was the scarlet letter in another form the scarlet letter endowed with life.,-68.03409576416016,16
1221-135767-0006,The mother herself as if the red ignominy were so deeply scorched into her brain that all her conceptions assumed its form had carefully wrought out the similitude lavishing many hours of morbid ingenuity to create an analogy between the object of her affection and the emblem of her guilt and torture.,-272.7379150390625,58
1221-135767-0007,But in truth pearl was the one as well as the other and only in consequence of that identity had hester contrived so perfectly to represent the scarlet letter in her appearance.,-160.79412841796875,35
1221-135767-0008,Come therefore and let us fling mud at them.,-48.808101654052734,10
1221-135767-0009,But pearl who was a dauntless child after frowning stamping her foot and shaking her little hand with a variety of threatening gestures suddenly made a rush at the knot of her enemies and put them all to flight.,-185.03160095214844,43
1221-135767-0010,She screamed and shouted too with a terrific volume of sound which doubtless caused the hearts of the fugitives to quake within them.,-99.29518127441406,24
1221-135767-0011,It was further decorated with strange and seemingly cabalistic figures and diagrams suitable to the quaint taste of the age which had been drawn in the stucco when newly laid on and had now grown hard and durable for the admiration of after times.,-230.32333374023438,47
1221-135767-0012,They approached the door which was of an arched form and flanked on each side by a narrow tower or projection of the edifice in both of which were lattice windows the wooden shutters to close over them at need.,-193.3596649169922,44
1221-135767-0013,Lifting the iron hammer that hung at the portal hester prynne gave a summons which was answered by one of the governor's bond servant a free born englishman but now a seven years slave.,-219.5010986328125,40
1221-135767-0014,Yea his honourable worship is within but he hath a godly minister or two with him and likewise a leech.,-117.69113159179688,24
1221-135767-0015,Ye may not see his worship now.,-34.07166290283203,7
1221-135767-0016,With many variations suggested by the nature of his building materials diversity of climate and a different mode of social life governor bellingham had planned his new habitation after the residences of gentlemen of fair estate in his native land.,-215.62088012695312,43
1221-135767-0017,On the table in token that the sentiment of old english hospitality had not been left behind stood a large pewter tankard at the bottom of which had hester or pearl peeped into it they might have seen the frothy remnant of a recent draught of ale.,-262.6572570800781,55
1221-135767-0018,Little pearl who was as greatly pleased with the gleaming armour as she had been with the glittering frontispiece of the house spent some time looking into the polished mirror of the breastplate.,-147.12051391601562,38
1221-135767-0019,Mother cried she i see you here look look.,-67.48443603515625,9
1221-135767-0020,In truth she seemed absolutely hidden behind it.,-45.0431022644043,8
1221-135767-0021,Pearl accordingly ran to the bow window at the further end of the hall and looked along the vista of a garden walk carpeted with closely shaven grass and bordered with some rude and immature attempt at shrubbery.,-193.4561004638672,45
1221-135767-0022,But the proprietor appeared already to have relinquished as hopeless the effort to perpetuate on this side of the atlantic in a hard soil and amid the close struggle for subsistence the native english taste for ornamental gardening.,-204.53021240234375,43
1221-135767-0023,There were a few rose bushes however and a number of apple trees probably the descendants of those planted by the reverend mister blackstone the first settler of the peninsula that half mythological personage who rides through our early annals seated on the back of a bull.,-228.0654754638672,54
1221-135767-0024,Pearl seeing the rose bushes began to cry for a red rose and would not be pacified.,-78.22506713867188,19
1284-1180-0000,He wore blue silk stockings blue knee pants with gold buckles a blue ruffled waist and a jacket of bright blue braided with gold.,-114.22715759277344,29
1284-1180-0001,His hat had a peaked crown and a flat brim and around the brim was a row of tiny golden bells that tinkled when he moved.,-92.7250747680664,27
1284-1180-0002,Instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid.,-107.74067687988281,23
1284-1180-0003,For a long time he had wished to explore the beautiful land of oz in which they lived.,-71.594970703125,18
1284-1180-0004,When they were outside unc simply latched the door and started up the path.,-80.55099487304688,15
1284-1180-0005,No one would disturb their little house even if anyone came so far into the thick forest while they were gone.,-88.86511993408203,21
1284-1180-0006,At the foot of the mountain that separated the country of the munchkins from the country of the gillikins the path divided.,-88.82050323486328,27
1284-1180-0007,He knew it would take them to the house of the crooked magician whom he had never seen but who was their nearest neighbor.,-87.76270294189453,24
1284-1180-0008,All the morning they trudged up the mountain path and at noon unc and ojo sat on a fallen tree trunk and ate the last of the bread which the old munchkin had placed in his pocket.,-167.62112426757812,42
1284-1180-0009,Then they started on again and two hours later came in sight of the house of doctor pipt.,-90.36217498779297,19
1284-1180-0010,Unc knocked at the door of the house and a chubby pleasant faced woman dressed all in blue opened it and greeted the visitors with a smile.,-108.55725860595703,29
1284-1180-0011,I am my dear and all strangers are welcome to my home.,-51.95005416870117,12
1284-1180-0012,We have come from a far lonelier place than this a lonelier place.,-50.91291046142578,17
1284-1180-0013,And you must be ojo the unlucky she added.,-63.97929000854492,10
1284-1180-0014,Ojo had never eaten such a fine meal in all his life.,-45.80672073364258,13
1284-1180-0015,We are traveling replied ojo and we stopped at your house just to rest and refresh ourselves.,-90.7622299194336,18
1284-1180-0016,The woman seemed thoughtful.,-24.526103973388672,4
1284-1180-0017,At one end stood a great fireplace in which a blue log was blazing with a blue flame and over the fire hung four kettles in a row all bubbling and steaming at a great rate.,-147.3310546875,40
1284-1180-0018,It takes me several years to make this magic powder but at this moment i am pleased to say it is nearly done you see i am making it for my good wife margolotte who wants to use some of it for a purpose of her own.,-190.76942443847656,49
1284-1180-0019,You must know said margolotte when they were all seated together on the broad window seat that my husband foolishly gave away all the powder of life he first made to old mombi the witch who used to live in the country of the gillikins to the north of here.,-287.010986328125,57
1284-1180-0020,The first lot we tested on our glass cat which not only began to live but has lived ever since.,-98.26995849609375,20
1284-1180-0021,I think the next glass cat the magician makes will have neither brains nor heart for then it will not object to catching mice and may prove of some use to us.,-161.35125732421875,32
1284-1180-0022,I'm afraid i don't know much about the land of oz.,-44.73297882080078,13
1284-1180-0023,You see i've lived all my life with unc nunkie the silent one and there was no one to tell me anything.,-117.78986358642578,25
1284-1180-0024,That is one reason you are ojo the unlucky said the woman in a sympathetic tone.,-89.80068969726562,17
